Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29272,,,,,,,,,,0.0,,,,0.0,,,"2,021.0",,,741.0,,,,,
2,,30452,,,,,,,,,,"2,021.0",,,,0.0,,,298.0,,,666.0,,,*,,
3,,31400,,,,,,,,,,0.0,,,,741.0,,,"2,286.0",,,412.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,741.0,,"2,440.0",,,741.0,,,"2,440.0",,,"1,220.0",,,741.0,,,---,,,
2,,"2,021.0",,,,0.0,,"2,021.0",,,741.0,,,"2,440.0",,,741.0,,,"2,021.0",,,|,,,
3,,"2,319.0",,,,0.0,,"2,319.0",,,741.0,,,419.0,,,741.0,,,298.0,,,|,,,
4,,"2,021.0",,,,666.0,,"2,319.0",,,666.0,,,298.0,,,741.0,,,666.0,,,---,,,
5,,0.0,,,,"1,153.0",,"2,440.0",,,"1,153.0",,,"2,440.0",,,479.0,,,412.0,,,---,,,
6,,"2,286.0",,,,741.0,,"2,286.0",,,"1,153.0",,,"2,440.0",,,412.0,,,"2,286.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,072.0)   7,072.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31836,,,,,,,,,,0.0,,,,0.0,,,"2,021.0",,,741.0,,,,,
2,,28106,,,,,,,,,,0.0,,,,741.0,,,741.0,,,430.0,,,*,,
3,,30440,,,,,,,,,,741.0,,,,741.0,,,741.0,,,430.0,,,*,,
4,,31959,,,,,,,,,,"2,021.0",,,,0.0,,,323.0,,,604.0,,,,,
5,,29601,,,,,,,,,,"2,021.0",,,,604.0,,,323.0,,,604.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,021.0",,,,0.0,,"2,021.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,021.0",,,|,,,
2,,0.0,,,,741.0,,"2,021.0",,,741.0,,,"2,021.0",,,"1,220.0",,,741.0,,,---,,,
3,,0.0,,,,"1,171.0",,"2,021.0",,,"1,171.0",,,"2,021.0",,,479.0,,,430.0,,,---,,,
4,,741.0,,,,741.0,,741.0,,,"1,171.0",,,"2,021.0",,,430.0,,,741.0,,,|,,,
5,,"1,482.0",,,,741.0,,"1,482.0",,,"1,171.0",,,"1,280.0",,,430.0,,,741.0,,,|,,,
6,,"2,344.0",,,,0.0,,"2,344.0",,,"1,220.0",,,419.0,,,"1,220.0",,,323.0,,,|,,,
7,,"2,021.0",,,,604.0,,"2,344.0",,,604.0,,,323.0,,,"1,220.0",,,604.0,,,---,,,
8,,"2,021.0",,,,"1,208.0",,"2,344.0",,,"1,208.0",,,323.0,,,616.0,,,604.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,988.0)   7,988.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30014,,*,,,,,*,,,0.0,,,,0.0,,,"1,620.5",,,237.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,237.0,,"2,440.0",,,237.0,,,"2,440.0",,,"1,220.0",,,237.0,,,---,,
2,,"1,620.5",,,,0.0,,"1,620.5",,,237.0,,,"2,440.0",,,237.0,,,"1,620.5",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,677.0)   2,677.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
