Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30110,,,,,,,,,,0.0,,,,0.0,,,692.0,,,475.0,,,,,
2,,28112,,,,,,,,,,692.0,,,,0.0,,,692.0,,,475.0,,,,,
3,,28237,,,,,,,,,,"1,384.0",,,,0.0,,,237.0,,,347.0,,,,,
4,,30354,,,,,,,,,,"1,621.0",,,,0.0,,,328.0,,,236.0,,,*,,
5,,30414,,,,,,,,,,"1,621.0",,,,236.0,,,328.0,,,236.0,,,*,,
6,,29544,,,,,,,,,,"1,949.0",,,,0.0,,,237.0,,,346.0,,,,,
7,,31605,,,,,,,,,,"2,186.0",,,,0.0,,,236.0,,,328.0,,,,,
8,,32212,,,,,,,,,,0.0,,,,475.0,,,"1,598.0",,,598.0,,,,,
9,,29832,,*,,,,,*,,,"1,598.0",,,,475.0,,,692.0,,,445.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,475.0,,"2,440.0",,,475.0,,,"2,440.0",,,"1,220.0",,,475.0,,,---,,,
2,,692.0,,,,0.0,,692.0,,,475.0,,,"2,440.0",,,475.0,,,692.0,,,|,,,
3,,"1,384.0",,,,0.0,,"1,384.0",,,475.0,,,"1,748.0",,,475.0,,,692.0,,,|,,,
4,,"1,621.0",,,,0.0,,"1,621.0",,,475.0,,,"1,056.0",,,475.0,,,237.0,,,|,,,
5,,"1,384.0",,,,347.0,,"1,621.0",,,347.0,,,237.0,,,475.0,,,347.0,,,---,,,
6,,"1,949.0",,,,0.0,,"1,949.0",,,475.0,,,819.0,,,475.0,,,328.0,,,|,,,
7,,"1,621.0",,,,236.0,,"1,949.0",,,236.0,,,328.0,,,475.0,,,236.0,,,---,,,
8,,"1,621.0",,,,472.0,,"1,949.0",,,472.0,,,328.0,,,239.0,,,236.0,,,---,,,
9,,"2,186.0",,,,0.0,,"2,186.0",,,475.0,,,491.0,,,475.0,,,237.0,,,|,,,
10,,"1,949.0",,,,346.0,,"2,186.0",,,346.0,,,237.0,,,475.0,,,346.0,,,---,,,
11,,"2,422.0",,,,0.0,,"2,422.0",,,475.0,,,254.0,,,475.0,,,236.0,,,|,,,
12,,"2,186.0",,,,328.0,,"2,422.0",,,328.0,,,236.0,,,475.0,,,328.0,,,---,,,
13,,0.0,,,,"1,073.0",,"2,440.0",,,"1,073.0",,,"2,440.0",,,745.0,,,598.0,,,---,,,
14,,"1,598.0",,,,475.0,,"1,598.0",,,"1,073.0",,,"2,440.0",,,598.0,,,"1,598.0",,,|,,,
15,"2,290.0",475.0,"2,290.0","1,073.0",842.0,598.0,692.0,|
16,"1,598.0",920.0,"2,290.0",920.0,692.0,598.0,445.0,---
,,,,,,,,
"Sum of cuts   (1 x 10,984.0)   10,984.0",,,,,,Count of cuts   (1 x 16)   16,,,
