Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,28900,,,,,,,,,,0.0,,,,0.0,,,"1,934.0",,,366.0,,,,,
2,,29408,,,,,,,,,,"1,934.0",,,,0.0,,,430.5,,,363.5,,,*,,
3,,31955,,,,,,,,,,0.0,,,,366.0,,,"1,934.0",,,366.0,,,,,
4,,29378,,,,,,,,,,"1,934.0",,,,366.0,,,430.5,,,363.5,,,*,,
5,,31724,,,,,,,,,,0.0,,,,732.0,,,945.0,,,387.0,,,,,
6,,30634,,,,,,,,,,945.0,,,,732.0,,,945.0,,,387.0,,,,,
7,,30311,,,,,,,,,,"1,890.0",,,,732.0,,,545.0,,,366.0,,,,,
8,,31743,,,,,,,,,,0.0,,,,"1,119.0",,,"2,223.0",,,93.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,366.0,,"2,440.0",,,366.0,,,"2,440.0",,,"1,220.0",,,366.0,,,---,,,
2,,"1,934.0",,,,0.0,,"1,934.0",,,366.0,,,"2,440.0",,,366.0,,,"1,934.0",,,|,,,
3,,"2,364.5",,,,0.0,,"2,364.5",,,366.0,,,506.0,,,366.0,,,430.5,,,|,,,
4,,"1,934.0",,,,363.5,,"2,364.5",,,363.5,,,430.5,,,366.0,,,363.5,,,---,,,
5,,0.0,,,,732.0,,"2,440.0",,,732.0,,,"2,440.0",,,854.0,,,366.0,,,---,,,
6,,"1,934.0",,,,366.0,,"1,934.0",,,732.0,,,"2,440.0",,,366.0,,,"1,934.0",,,|,,,
7,,"2,364.5",,,,366.0,,"2,364.5",,,732.0,,,506.0,,,366.0,,,430.5,,,|,,,
8,,"1,934.0",,,,729.5,,"2,364.5",,,729.5,,,430.5,,,366.0,,,363.5,,,---,,,
9,,0.0,,,,"1,119.0",,"2,440.0",,,"1,119.0",,,"2,440.0",,,488.0,,,387.0,,,---,,,
10,,945.0,,,,732.0,,945.0,,,"1,119.0",,,"2,440.0",,,387.0,,,945.0,,,|,,,
11,,"1,890.0",,,,732.0,,"1,890.0",,,"1,119.0",,,"1,495.0",,,387.0,,,945.0,,,|,,,
12,,"2,435.0",,,,732.0,,"2,435.0",,,"1,119.0",,,550.0,,,387.0,,,545.0,,,|,,,
13,,"1,890.0",,,,"1,098.0",,"2,435.0",,,"1,098.0",,,545.0,,,387.0,,,366.0,,,---,,,
14,,0.0,,,,"1,212.0",,"2,440.0",,,"1,212.0",,,"2,440.0",,,101.0,,,93.0,,,---,,,
15,,"2,223.0",,,,"1,119.0",,"2,223.0",,,"1,212.0",,,"2,440.0",,,93.0,,,"2,223.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,884.0)   13,884.0",,,,,,,,,,,,,,,Count of cuts   (1 x 15)   15,,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29444,,,,,,,,,,0.0,,,,0.0,,,"1,934.0",,,366.0,,,,,
2,,30985,,,,,,,,,,0.0,,,,366.0,,,"1,934.0",,,366.0,,,,,
3,,30572,,,,,,,,,,0.0,,,,732.0,,,945.0,,,387.0,,,,,
4,,27729,,,,,,,,,,945.0,,,,732.0,,,945.0,,,387.0,,,,,
5,,31670,,,,,,,,,,0.0,,,,"1,119.0",,,"1,538.0",,,88.0,,,,,
6,,31698,,,,,,,,,,"1,934.0",,,,0.0,,,366.0,,,545.0,,,*,,
7,,31327,,,,,,,,,,"1,934.0",,,,545.0,,,366.0,,,545.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,934.0",,,,0.0,,"1,934.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,934.0",,,|,,,
2,,0.0,,,,366.0,,"1,934.0",,,366.0,,,"1,934.0",,,"1,220.0",,,366.0,,,---,,,
3,,0.0,,,,732.0,,"1,934.0",,,732.0,,,"1,934.0",,,854.0,,,366.0,,,---,,,
4,,0.0,,,,"1,119.0",,"1,934.0",,,"1,119.0",,,"1,934.0",,,488.0,,,387.0,,,---,,,
5,,945.0,,,,732.0,,945.0,,,"1,119.0",,,"1,934.0",,,387.0,,,945.0,,,|,,,
6,,"1,890.0",,,,732.0,,"1,890.0",,,"1,119.0",,,989.0,,,387.0,,,945.0,,,|,,,
7,,0.0,,,,"1,207.0",,"1,934.0",,,"1,207.0",,,"1,934.0",,,101.0,,,88.0,,,---,,,
