Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23667,,,,,,,,,,"1,298.0",,,,0.0,,,976.0,,,445.0,,,,,
2,,24811,,,,,,,,,,"1,298.0",,,,445.0,,,976.0,,,445.0,,,,,
3,,22612,,,,,,,,,,445.0,,,,0.0,,,853.0,,,445.0,,,,,
4,,25236,,,,,,,,,,445.0,,,,445.0,,,853.0,,,445.0,,,,,
5,,25890,,,,,,,,,,0.0,,,,0.0,,,445.0,,,976.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,445.0,,,,0.0,,445.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,445.0,,,|,,,
2,,"1,298.0",,,,0.0,,"1,298.0",,,"1,220.0",,,"1,995.0",,,"1,220.0",,,853.0,,,|,,,
3,,"2,274.0",,,,0.0,,"2,274.0",,,"1,220.0",,,"1,142.0",,,"1,220.0",,,976.0,,,|,,,
4,,"1,298.0",,,,445.0,,"2,274.0",,,445.0,,,976.0,,,"1,220.0",,,445.0,,,---,,,
5,,"1,298.0",,,,890.0,,"2,274.0",,,890.0,,,976.0,,,775.0,,,445.0,,,---,,,
6,,445.0,,,,445.0,,"1,298.0",,,445.0,,,853.0,,,"1,220.0",,,445.0,,,---,,,
7,,445.0,,,,890.0,,"1,298.0",,,890.0,,,853.0,,,775.0,,,445.0,,,---,,,
8,,0.0,,,,976.0,,445.0,,,976.0,,,445.0,,,"1,220.0",,,976.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,763.0)   7,763.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24279,,*,,,,,*,,,0.0,,,,0.0,,,445.0,,,853.0,,,*,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,445.0,,,,0.0,,445.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,445.0,,,|,,
2,,0.0,,,,853.0,,445.0,,,853.0,,,445.0,,,"1,220.0",,,853.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,665.0)   1,665.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
