Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,22838,,,,,,,,,,0.0,,,,0.0,,,"2,201.0",,,851.0,,,,
2,,26917,,,,,,,,,,0.0,,,,851.0,,,"1,261.5",,,345.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,201.0",,,,0.0,,"2,201.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,201.0",,,|,,
2,,0.0,,,,851.0,,"2,201.0",,,851.0,,,"2,201.0",,,"1,220.0",,,851.0,,,---,,
3,,0.0,,,,"1,196.0",,"2,201.0",,,"1,196.0",,,"2,201.0",,,369.0,,,345.0,,,---,,
4,,"1,261.5",,,,851.0,,"1,261.5",,,"1,196.0",,,"2,201.0",,,345.0,,,"1,261.5",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,967.0)   5,967.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23130,,*,,,,,*,,,0.0,,,,0.0,,,477.0,,,839.5,,,*,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,477.0,,,,0.0,,477.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,477.0,,,|,,
2,,0.0,,,,839.5,,477.0,,,839.5,,,477.0,,,"1,220.0",,,839.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,697.0)   1,697.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
