Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23923,,,,,,,,,,0.0,,,,0.0,,,118.0,,,388.0,,,*,,
2,,26024,,,,,,,,,,118.0,,,,0.0,,,"1,178.0",,,134.5,,,*,,
3,,26400,,,,,,,,,,118.0,,,,134.5,,,513.0,,,389.0,,,,,
4,,26446,,,,,,,,,,"1,296.0",,,,0.0,,,389.0,,,533.0,,,*,,
5,,26064,,,,,,,,,,"1,685.0",,,,0.0,,,388.0,,,118.0,,,,,
6,,25105,,,,,,,,,,"1,685.0",,,,118.0,,,388.0,,,118.0,,,,,
7,,23444,,,,,,,,,,"2,073.0",,,,0.0,,,92.5,,,532.0,,,*,,
8,,26327,,,,,,,,,,"2,165.5",,,,0.0,,,118.0,,,388.0,,,*,,
9,,27202,,*,,,,,*,,,"2,283.5",,,,0.0,,,92.5,,,512.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,533.0,,"2,440.0",,,533.0,,,"2,440.0",,,"1,220.0",,,533.0,,,---,,,
2,,118.0,,,,0.0,,118.0,,,533.0,,,"2,440.0",,,533.0,,,118.0,,,|,,,
3,,0.0,,,,388.0,,118.0,,,388.0,,,118.0,,,533.0,,,388.0,,,---,,,
4,,"1,296.0",,,,0.0,,"1,296.0",,,533.0,,,"2,322.0",,,533.0,,,"1,178.0",,,|,,,
5,,118.0,,,,134.5,,"1,296.0",,,134.5,,,"1,178.0",,,533.0,,,134.5,,,---,,,
6,,118.0,,,,523.5,,"1,296.0",,,523.5,,,"1,178.0",,,398.5,,,389.0,,,---,,,
7,,631.0,,,,134.5,,631.0,,,523.5,,,"1,178.0",,,389.0,,,513.0,,,|,,,
8,,"1,685.0",,,,0.0,,"1,685.0",,,533.0,,,"1,144.0",,,533.0,,,389.0,,,|,,,
9,,"2,073.0",,,,0.0,,"2,073.0",,,533.0,,,755.0,,,533.0,,,388.0,,,|,,,
10,,"1,685.0",,,,118.0,,"2,073.0",,,118.0,,,388.0,,,533.0,,,118.0,,,---,,,
11,,"1,685.0",,,,236.0,,"2,073.0",,,236.0,,,388.0,,,415.0,,,118.0,,,---,,,
12,,"2,165.5",,,,0.0,,"2,165.5",,,533.0,,,367.0,,,533.0,,,92.5,,,|,,,
13,,"2,073.0",,,,532.0,,"2,165.5",,,532.0,,,92.5,,,533.0,,,532.0,,,---,,,
14,,"2,283.5",,,,0.0,,"2,283.5",,,533.0,,,274.5,,,533.0,,,118.0,,,|,,,
15,"2,165.5",388.0,"2,283.5",388.0,118.0,533.0,388.0,---
16,"2,376.0",0.0,"2,376.0",533.0,156.5,533.0,92.5,|
17,"2,283.5",512.0,"2,376.0",512.0,92.5,533.0,512.0,---
,,,,,,,,
"Sum of cuts   (1 x 10,113.0)   10,113.0",,,,,,Count of cuts   (1 x 17)   17,,,
