Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25272,,,,,,,,,,0.0,,,,0.0,,,304.0,,,704.0,,,*,,
2,,23664,,,,,,,,,,304.0,,,,0.0,,,304.0,,,704.0,,,*,,
3,,24034,,,,,,,,,,608.0,,,,0.0,,,304.0,,,704.0,,,*,,
4,,26264,,,,,,,,,,912.0,,,,0.0,,,304.0,,,704.0,,,*,,
5,,22684,,,,,,,,,,"1,216.0",,,,0.0,,,148.0,,,593.5,,,*,,
6,,22747,,,,,,,,,,"1,364.0",,,,0.0,,,148.0,,,593.0,,,*,,
7,,23475,,,,,,,,,,0.0,,,,704.0,,,153.0,,,476.5,,,,,
8,,25400,,,,,,,,,,153.0,,,,704.0,,,134.5,,,456.5,,,,,
9,,25431,,*,,,,,*,,,287.5,,,,704.0,,,"1,178.0",,,455.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,512.0",,,,0.0,,"1,512.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,512.0",,,|,,,
2,,0.0,,,,704.0,,"1,512.0",,,704.0,,,"1,512.0",,,"1,220.0",,,704.0,,,---,,,
3,,304.0,,,,0.0,,304.0,,,704.0,,,"1,512.0",,,704.0,,,304.0,,,|,,,
4,,608.0,,,,0.0,,608.0,,,704.0,,,"1,208.0",,,704.0,,,304.0,,,|,,,
5,,912.0,,,,0.0,,912.0,,,704.0,,,904.0,,,704.0,,,304.0,,,|,,,
6,,"1,216.0",,,,0.0,,"1,216.0",,,704.0,,,600.0,,,704.0,,,304.0,,,|,,,
7,,"1,364.0",,,,0.0,,"1,364.0",,,704.0,,,296.0,,,704.0,,,148.0,,,|,,,
8,,"1,216.0",,,,593.5,,"1,364.0",,,593.5,,,148.0,,,704.0,,,593.5,,,---,,,
9,,"1,364.0",,,,593.0,,"1,512.0",,,593.0,,,148.0,,,704.0,,,593.0,,,---,,,
10,,153.0,,,,704.0,,153.0,,,"1,220.0",,,"1,512.0",,,516.0,,,153.0,,,|,,,
11,,0.0,,,,"1,180.5",,153.0,,,"1,180.5",,,153.0,,,516.0,,,476.5,,,---,,,
12,,287.5,,,,704.0,,287.5,,,"1,220.0",,,"1,359.0",,,516.0,,,134.5,,,|,,,
13,,153.0,,,,"1,160.5",,287.5,,,"1,160.5",,,134.5,,,516.0,,,456.5,,,---,,,
14,,"1,465.5",,,,704.0,,"1,465.5",,,"1,220.0",,,"1,224.5",,,516.0,,,"1,178.0",,,|,,,
15,287.5,"1,159.0","1,465.5","1,159.0","1,178.0",516.0,455.0,---
,,,,,,,,
"Sum of cuts   (1 x 9,561.5)   9,561.5",,,,,,Count of cuts   (1 x 15)   15,,,
