Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,12028,,,,,,,,,,0.0,,,,0.0,,,"1,198.0",,,598.0,,,,,
2,,8068,,,,,,,,,,"1,198.0",,,,0.0,,,752.0,,,547.0,,,,,
3,,8888,,,,,,,,,,"1,950.0",,,,0.0,,,398.0,,,493.0,,,*,,
4,,9803,,,,,,,,,,0.0,,,,598.0,,,123.0,,,598.0,,,*,,
5,,11077,,,,,,,,,,123.0,,,,598.0,,,146.0,,,598.0,,,*,,
6,,7737,,,,,,,,,,269.0,,,,598.0,,,"2,130.0",,,538.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,598.0,,"2,440.0",,,598.0,,,"2,440.0",,,"1,220.0",,,598.0,,,---,,,
2,,"1,198.0",,,,0.0,,"1,198.0",,,598.0,,,"2,440.0",,,598.0,,,"1,198.0",,,|,,,
3,,"1,950.0",,,,0.0,,"1,950.0",,,598.0,,,"1,242.0",,,598.0,,,752.0,,,|,,,
4,,"1,198.0",,,,547.0,,"1,950.0",,,547.0,,,752.0,,,598.0,,,547.0,,,---,,,
5,,"2,348.0",,,,0.0,,"2,348.0",,,598.0,,,490.0,,,598.0,,,398.0,,,|,,,
6,,"1,950.0",,,,493.0,,"2,348.0",,,493.0,,,398.0,,,598.0,,,493.0,,,---,,,
7,,123.0,,,,598.0,,123.0,,,"1,220.0",,,"2,440.0",,,622.0,,,123.0,,,|,,,
8,,0.0,,,,"1,196.0",,123.0,,,"1,196.0",,,123.0,,,622.0,,,598.0,,,---,,,
9,,269.0,,,,598.0,,269.0,,,"1,220.0",,,"2,317.0",,,622.0,,,146.0,,,|,,,
10,,123.0,,,,"1,196.0",,269.0,,,"1,196.0",,,146.0,,,622.0,,,598.0,,,---,,,
11,,"2,399.0",,,,598.0,,"2,399.0",,,"1,220.0",,,"2,171.0",,,622.0,,,"2,130.0",,,|,,,
12,,269.0,,,,"1,136.0",,"2,399.0",,,"1,136.0",,,"2,130.0",,,622.0,,,538.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,649.0)   9,649.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11503,,,,,,,,,,0.0,,,,0.0,,,"1,318.0",,,448.0,,,,,
2,,8212,,,,,,,,,,"1,318.0",,,,0.0,,,493.0,,,398.0,,,,,
3,,8779,,,,,,,,,,"1,811.0",,,,0.0,,,493.0,,,398.0,,,,,
4,,10663,,,,,,,,,,0.0,,,,448.0,,,537.0,,,734.0,,,*,,
5,,9350,,,,,,,,,,537.0,,,,448.0,,,537.0,,,734.0,,,*,,
6,,10341,,,,,,,,,,"1,074.0",,,,448.0,,,537.0,,,734.0,,,*,,
7,,11414,,,,,,,,,,"1,611.0",,,,448.0,,,734.0,,,537.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
