Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4012,,,,,,,,,,0.0,,,,0.0,,,"1,236.0",,,774.5,,,,,
2,,4790,,,,,,,,,,"1,236.0",,,,0.0,,,"1,105.0",,,774.5,,,*,,
3,,4478,,,,,,,,,,0.0,,,,774.5,,,"2,246.0",,,272.0,,,,,
4,,4828,,,,,,,,,,0.0,,,,"1,046.5",,,750.0,,,153.0,,,*,,
5,,4774,,,,,,,,,,750.0,,,,"1,046.5",,,750.0,,,153.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,774.5,,"2,440.0",,,774.5,,,"2,440.0",,,"1,220.0",,,774.5,,,---,,,
2,,"1,236.0",,,,0.0,,"1,236.0",,,774.5,,,"2,440.0",,,774.5,,,"1,236.0",,,|,,,
3,,"2,341.0",,,,0.0,,"2,341.0",,,774.5,,,"1,204.0",,,774.5,,,"1,105.0",,,|,,,
4,,0.0,,,,"1,046.5",,"2,440.0",,,"1,046.5",,,"2,440.0",,,445.5,,,272.0,,,---,,,
5,,"2,246.0",,,,774.5,,"2,246.0",,,"1,046.5",,,"2,440.0",,,272.0,,,"2,246.0",,,|,,,
6,,0.0,,,,"1,199.5",,"2,440.0",,,"1,199.5",,,"2,440.0",,,173.5,,,153.0,,,---,,,
7,,750.0,,,,"1,046.5",,750.0,,,"1,199.5",,,"2,440.0",,,153.0,,,750.0,,,|,,,
8,,"1,500.0",,,,"1,046.5",,"1,500.0",,,"1,199.5",,,"1,690.0",,,153.0,,,750.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,447.0)   9,447.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6171,,,,,,,,,,0.0,,,,0.0,,,"1,462.0",,,662.0,,,,,
