Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5991,,,,,,,,,,0.0,,,,0.0,,,348.0,,,418.0,,,,,
2,,6371,,,,,,,,,,348.0,,,,0.0,,,"1,309.0",,,418.0,,,,,
3,,3984,,,,,,,,,,"1,657.0",,,,0.0,,,320.5,,,390.5,,,,,
4,,4772,,,,,,,,,,"1,977.5",,,,0.0,,,372.0,,,302.0,,,*,,
5,,4629,,,,,,,,,,0.0,,,,418.0,,,853.0,,,392.5,,,,,
6,,4159,,,,,,,,,,853.0,,,,418.0,,,320.5,,,390.5,,,,,
7,,3803,,,,,,,,,,"1,173.5",,,,418.0,,,328.0,,,348.0,,,,,
8,,7063,,,,,,,,,,"1,501.5",,,,418.0,,,853.0,,,348.0,,,,,
9,,6378,,,,,,,,,,0.0,,,,810.5,,,322.0,,,392.0,,,,,
10,,3818,,,,,,,,,,322.0,,,,810.5,,,"2,108.0",,,348.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,418.0,,"2,440.0",,,418.0,,,"2,440.0",,,"1,220.0",,,418.0,,,---,,,
2,,348.0,,,,0.0,,348.0,,,418.0,,,"2,440.0",,,418.0,,,348.0,,,|,,,
3,,"1,657.0",,,,0.0,,"1,657.0",,,418.0,,,"2,092.0",,,418.0,,,"1,309.0",,,|,,,
4,,"1,977.5",,,,0.0,,"1,977.5",,,418.0,,,783.0,,,418.0,,,320.5,,,|,,,
5,,"1,657.0",,,,390.5,,"1,977.5",,,390.5,,,320.5,,,418.0,,,390.5,,,---,,,
6,,"2,349.5",,,,0.0,,"2,349.5",,,418.0,,,462.5,,,418.0,,,372.0,,,|,,,
7,,"1,977.5",,,,302.0,,"2,349.5",,,302.0,,,372.0,,,418.0,,,302.0,,,---,,,
8,,0.0,,,,810.5,,"2,440.0",,,810.5,,,"2,440.0",,,802.0,,,392.5,,,---,,,
9,,853.0,,,,418.0,,853.0,,,810.5,,,"2,440.0",,,392.5,,,853.0,,,|,,,
10,,"1,173.5",,,,418.0,,"1,173.5",,,810.5,,,"1,587.0",,,392.5,,,320.5,,,|,,,
11,,853.0,,,,808.5,,"1,173.5",,,808.5,,,320.5,,,392.5,,,390.5,,,---,,,
12,,"1,501.5",,,,418.0,,"1,501.5",,,810.5,,,"1,266.5",,,392.5,,,328.0,,,|,,,
13,,"1,173.5",,,,766.0,,"1,501.5",,,766.0,,,328.0,,,392.5,,,348.0,,,---,,,
14,,"2,354.5",,,,418.0,,"2,354.5",,,810.5,,,938.5,,,392.5,,,853.0,,,|,,
15,,"1,501.5",,,,766.0,,"2,354.5",,,766.0,,,853.0,,,392.5,,,348.0,,,---,,
16,,322.0,,,,810.5,,322.0,,,"1,220.0",,,"2,440.0",,,409.5,,,322.0,,,|,,
17,,0.0,,,,"1,202.5",,322.0,,,"1,202.5",,,322.0,,,409.5,,,392.0,,,---,,
18,,"2,430.0",,,,810.5,,"2,430.0",,,"1,220.0",,,"2,118.0",,,409.5,,,"2,108.0",,,|,,
19,,322.0,,,,"1,158.5",,"2,430.0",,,"1,158.5",,,"2,108.0",,,409.5,,,348.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,565.0)   13,565.0",,,,,,,,,,,,,,,Count of cuts   (1 x 19)   19,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6875,,*,,,,,*,,,0.0,,,,0.0,,,"1,498.0",,,898.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,498.0",,,,0.0,,"1,498.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,498.0",,,|,,
2,,0.0,,,,898.0,,"1,498.0",,,898.0,,,"1,498.0",,,"1,220.0",,,898.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,718.0)   2,718.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
