Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11015,,,,,,,,,,0.0,,,,0.0,,,315.0,,,462.0,,,*,,
2,,11811,,,,,,,,,,315.0,,,,0.0,,,462.0,,,315.0,,,,,
3,,9154,,,,,,,,,,315.0,,,,315.0,,,414.0,,,728.0,,,*,,
4,,10422,,,,,,,,,,777.0,,,,0.0,,,"1,598.0",,,316.0,,,,,
5,,10992,,,,,,,,,,777.0,,,,316.0,,,"1,598.0",,,316.0,,,,,
6,,11227,,,,,,,,,,777.0,,,,632.0,,,"1,561.0",,,462.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,"1,094.0",,"2,440.0",,,"1,094.0",,,"2,440.0",,,"1,220.0",,,"1,094.0",,,---,,,
2,,315.0,,,,0.0,,315.0,,,"1,094.0",,,"2,440.0",,,"1,094.0",,,315.0,,,|,,,
3,,0.0,,,,462.0,,315.0,,,462.0,,,315.0,,,"1,094.0",,,462.0,,,---,,,
4,,777.0,,,,0.0,,777.0,,,"1,094.0",,,"2,125.0",,,"1,094.0",,,462.0,,,|,,,
5,,315.0,,,,315.0,,777.0,,,315.0,,,462.0,,,"1,094.0",,,315.0,,,---,,,
6,,315.0,,,,"1,043.0",,777.0,,,"1,043.0",,,462.0,,,779.0,,,728.0,,,---,,,
7,,729.0,,,,315.0,,729.0,,,"1,043.0",,,462.0,,,728.0,,,414.0,,,|,,,
8,,"2,375.0",,,,0.0,,"2,375.0",,,"1,094.0",,,"1,663.0",,,"1,094.0",,,"1,598.0",,,|,,,
9,,777.0,,,,316.0,,"2,375.0",,,316.0,,,"1,598.0",,,"1,094.0",,,316.0,,,---,,,
10,,777.0,,,,632.0,,"2,375.0",,,632.0,,,"1,598.0",,,778.0,,,316.0,,,---,,,
11,,"2,338.0",,,,632.0,,"2,338.0",,,"1,094.0",,,"1,598.0",,,462.0,,,"1,561.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,347.0)   11,347.0",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8802,,*,,,,,*,,,0.0,,,,0.0,,,"1,418.0",,,486.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,418.0",,,,0.0,,"1,418.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,418.0",,,|,,
2,,0.0,,,,486.0,,"1,418.0",,,486.0,,,"1,418.0",,,"1,220.0",,,486.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,638.0)   2,638.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
