Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25918,,,,,,,,,,0.0,,,,0.0,,,948.0,,,580.0,,,,
2,,26219,,,,,,,,,,948.0,,,,0.0,,,734.0,,,579.0,,,,
3,,22988,,,,,,,,,,"1,682.0",,,,0.0,,,734.0,,,579.0,,,,
4,,26051,,,,,,,,,,0.0,,,,580.0,,,"2,188.0",,,88.0,,,,
5,,24994,,,,,,,,,,0.0,,,,668.0,,,"2,188.0",,,448.0,,,,
6,,23804,,,,,,,,,,0.0,,,,"1,116.0",,,858.0,,,88.0,,,,
7,,23028,,,,,,,,,,858.0,,,,"1,116.0",,,858.0,,,88.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,580.0,,"2,440.0",,,580.0,,,"2,440.0",,,"1,220.0",,,580.0,,,---,,
2,,948.0,,,,0.0,,948.0,,,580.0,,,"2,440.0",,,580.0,,,948.0,,,|,,
3,,"1,682.0",,,,0.0,,"1,682.0",,,580.0,,,"1,492.0",,,580.0,,,734.0,,,|,,
4,,948.0,,,,579.0,,"1,682.0",,,579.0,,,734.0,,,580.0,,,579.0,,,---,,
5,,"2,416.0",,,,0.0,,"2,416.0",,,580.0,,,758.0,,,580.0,,,734.0,,,|,,
6,,"1,682.0",,,,579.0,,"2,416.0",,,579.0,,,734.0,,,580.0,,,579.0,,,---,,
7,,0.0,,,,668.0,,"2,440.0",,,668.0,,,"2,440.0",,,640.0,,,88.0,,,---,,
8,,"2,188.0",,,,580.0,,"2,188.0",,,668.0,,,"2,440.0",,,88.0,,,"2,188.0",,,|,,
9,,0.0,,,,"1,116.0",,"2,440.0",,,"1,116.0",,,"2,440.0",,,552.0,,,448.0,,,---,,
10,,"2,188.0",,,,668.0,,"2,188.0",,,"1,116.0",,,"2,440.0",,,448.0,,,"2,188.0",,,|,,
11,,0.0,,,,"1,204.0",,"2,440.0",,,"1,204.0",,,"2,440.0",,,104.0,,,88.0,,,---,,
12,,858.0,,,,"1,116.0",,858.0,,,"1,204.0",,,"2,440.0",,,88.0,,,858.0,,,|,,
13,,"1,716.0",,,,"1,116.0",,"1,716.0",,,"1,204.0",,,"1,582.0",,,88.0,,,858.0,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,680.0)   13,680.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26134,,,,,,,,,,0.0,,,,0.0,,,"2,197.0",,,498.0,,,,
2,,25091,,,,,,,,,,0.0,,,,498.0,,,"1,600.0",,,348.0,,,,
3,,24187,,*,,,,,*,,,0.0,,,,846.0,,,"1,600.0",,,348.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,197.0",,,,0.0,,"2,197.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,197.0",,,|,,
2,,0.0,,,,498.0,,"2,197.0",,,498.0,,,"2,197.0",,,"1,220.0",,,498.0,,,---,,
3,,0.0,,,,846.0,,"2,197.0",,,846.0,,,"2,197.0",,,722.0,,,348.0,,,---,,
4,,"1,600.0",,,,498.0,,"1,600.0",,,846.0,,,"2,197.0",,,348.0,,,"1,600.0",,,|,,
5,,0.0,,,,"1,194.0",,"2,197.0",,,"1,194.0",,,"2,197.0",,,374.0,,,348.0,,,---,,
6,,"1,600.0",,,,846.0,,"1,600.0",,,"1,194.0",,,"2,197.0",,,348.0,,,"1,600.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,507.0)   8,507.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,
