Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,27539,,,,,,,,,,0.0,,,,0.0,,,"1,498.0",,,547.5,,,,,
2,,27426,,,,,,,,,,0.0,,,,547.5,,,"1,498.0",,,88.0,,,,,
3,,31972,,,,,,,,,,0.0,,,,635.5,,,"1,498.0",,,88.0,,,,,
4,,27924,,,,,,,,,,0.0,,,,723.5,,,"1,498.0",,,398.0,,,,,
5,,30330,,,,,,,,,,0.0,,,,"1,121.5",,,"1,498.0",,,88.0,,,,,
6,,28690,,,,,,,,,,"1,498.0",,,,0.0,,,598.0,,,"1,201.0",,,*,,
7,,31841,,,,,,,,,,"2,096.0",,,,0.0,,,218.0,,,48.0,,,,,
8,,28013,,,,,,,,,,"2,096.0",,,,48.0,,,218.0,,,48.0,,,,,
9,,32410,,,,,,,,,,"2,314.0",,,,0.0,,,48.0,,,218.0,,,*,,
10,,31769,,,,,,,,,,"2,362.0",,,,0.0,,,48.0,,,218.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,498.0",,,,0.0,,"1,498.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,498.0",,,|,,,
2,,0.0,,,,547.5,,"1,498.0",,,547.5,,,"1,498.0",,,"1,220.0",,,547.5,,,---,,,
3,,0.0,,,,635.5,,"1,498.0",,,635.5,,,"1,498.0",,,672.5,,,88.0,,,---,,,
4,,0.0,,,,723.5,,"1,498.0",,,723.5,,,"1,498.0",,,584.5,,,88.0,,,---,,,
5,,0.0,,,,"1,121.5",,"1,498.0",,,"1,121.5",,,"1,498.0",,,496.5,,,398.0,,,---,,,
6,,0.0,,,,"1,209.5",,"1,498.0",,,"1,209.5",,,"1,498.0",,,98.5,,,88.0,,,---,,,
7,,"2,096.0",,,,0.0,,"2,096.0",,,"1,220.0",,,942.0,,,"1,220.0",,,598.0,,,|,,,
8,,"1,498.0",,,,"1,201.0",,"2,096.0",,,"1,201.0",,,598.0,,,"1,220.0",,,"1,201.0",,,---,,,
9,,"2,314.0",,,,0.0,,"2,314.0",,,"1,220.0",,,344.0,,,"1,220.0",,,218.0,,,|,,,
10,,"2,096.0",,,,48.0,,"2,314.0",,,48.0,,,218.0,,,"1,220.0",,,48.0,,,---,,,
11,,"2,096.0",,,,96.0,,"2,314.0",,,96.0,,,218.0,,,"1,172.0",,,48.0,,,---,,,
12,,"2,362.0",,,,0.0,,"2,362.0",,,"1,220.0",,,126.0,,,"1,220.0",,,48.0,,,|,,,
13,,"2,314.0",,,,218.0,,"2,362.0",,,218.0,,,48.0,,,"1,220.0",,,218.0,,,---,,,
14,,"2,410.0",,,,0.0,,"2,410.0",,,"1,220.0",,,78.0,,,"1,220.0",,,48.0,,,|,,
15,,"2,362.0",,,,218.0,,"2,410.0",,,218.0,,,48.0,,,"1,220.0",,,218.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 14,720.0)   14,720.0",,,,,,,,,,,,,,,Count of cuts   (1 x 15)   15,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29320,,,,,,,,,,0.0,,,,0.0,,,"1,278.0",,,570.0,,,,
2,,31995,,,,,,,,,,"1,278.0",,,,0.0,,,968.0,,,548.0,,,,
3,,27762,,,,,,,,,,0.0,,,,570.0,,,998.0,,,548.0,,,,
4,,28335,,,,,,,,,,998.0,,,,570.0,,,"1,072.0",,,547.5,,,,
5,,31040,,,,,,,,,,0.0,,,,"1,118.0",,,"2,008.0",,,88.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,570.0,,"2,440.0",,,570.0,,,"2,440.0",,,"1,220.0",,,570.0,,,---,,
2,,"1,278.0",,,,0.0,,"1,278.0",,,570.0,,,"2,440.0",,,570.0,,,"1,278.0",,,|,,
3,,"2,246.0",,,,0.0,,"2,246.0",,,570.0,,,"1,162.0",,,570.0,,,968.0,,,|,,
4,,"1,278.0",,,,548.0,,"2,246.0",,,548.0,,,968.0,,,570.0,,,548.0,,,---,,
5,,0.0,,,,"1,118.0",,"2,440.0",,,"1,118.0",,,"2,440.0",,,650.0,,,548.0,,,---,,
6,,998.0,,,,570.0,,998.0,,,"1,118.0",,,"2,440.0",,,548.0,,,998.0,,,|,,
7,,"2,070.0",,,,570.0,,"2,070.0",,,"1,118.0",,,"1,442.0",,,548.0,,,"1,072.0",,,|,,
8,,998.0,,,,"1,117.5",,"2,070.0",,,"1,117.5",,,"1,072.0",,,548.0,,,547.5,,,---,,
9,,0.0,,,,"1,206.0",,"2,440.0",,,"1,206.0",,,"2,440.0",,,102.0,,,88.0,,,---,,
10,,"2,008.0",,,,"1,118.0",,"2,008.0",,,"1,206.0",,,"2,440.0",,,88.0,,,"2,008.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,684.0)   11,684.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
