Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
1 of 1,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,23282,,,,,,,,,,0,,,,0,,,289,,,358,
2,,25503,,,,,,,,,,0,,,,358,,,288,,,198,
3,,23832,,,,,,,,,,0,,,,556,,,288,,,198,
4,,25719,,,,,,,,,,0,,,,754,,,288,,,118,
5,,23263,,,,,,,,,,0,,,,872,,,288,,,198,
6,,23118,,,,,,,,,,0,,,,"1,070.00",,,288,,,118,
7,,26241,,,,,,,,,,289,,,,0,,,367,,,289,
8,,24422,,,,,,,,,,289,,,,289,,,358,,,289,
9,,26291,,,,,,,,,,289,,,,578,,,172.5,,,523,
10,,22885,,,,,,,,,,656,,,,0,,,289,,,367,
11,,24059,,,,,,,,,,656,,,,367,,,289,,,515,
12,,26361,,,,,,,,,,656,,,,882,,,288,,,198,
13,,26809,,,,,,,,,,656,,,,"1,080.00",,,288,,,118,
14,,23502,,,,,,,,,,945,,,,0,,,515,,,289,
15,,24046,,,,,,,,,,945,,,,289,,,515,,,289,
16,,24159,,,,,,,,,,945,,,,578,,,514,,,172.5,
17,,23995,,,,,,,,,,945,,,,750.5,,,514,,,172.5,
18,,23875,,,,,,,,,,945,,,,923,,,514,,,172.5,
19,,26756,,,,,,,,,,945,,,,"1,095.50",,,366,,,92.5,
20,,27160,,,,,,,,,,"1,460.00",,,,0,,,289,,,524,
21,,27190,,,,,,,,,,"1,460.00",,,,524,,,288,,,198,
22,,23640,,,,,,,,,,"1,460.00",,,,722,,,288,,,198,
23,,26425,,,,,,,,,,"1,460.00",,,,920,,,288,,,198,
24,,24292,,,,,,,,,,"1,460.00",,,,"1,118.00",,,261,,,92.5,
25,,24873,,,,,,,,,,"1,749.00",,,,0,,,198,,,288,
26,,25441,,,,,,,,,,"1,749.00",,,,288,,,118,,,288,
27,,22898,,,,,,,,,,"1,749.00",,,,576,,,118,,,488,
28,,22798,,,,,,,,,,"1,947.00",,,,0,,,262,,,489,
29,,23075,,,,,,,,,,"1,947.00",,,,489,,,118,,,288,
30,,23234,,,,,,,,,,"2,065.00",,,,489,,,118,,,288,
31,,25537,,,,,,,,,,"2,209.00",,,,0,,,118,,,288,
32,,24083,,,,,,,,,,"2,209.00",,,,288,,,118,,,488,
33,,25575,,,,,,,,,,"2,209.00",,,,776,,,118,,,288,
34,,23124,,,,,,,,,,"2,327.00",,,,0,,,92.5,,,357,
35,,23938,,,,,,,,,,"2,327.00",,,,357,,,92.5,,,366,
36,,23993,,,,*,,,,,,"2,327.00",,,,723,,,92.5,,,357,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,289,,,0,289,,,"1,220.00",,"2,440.00",,"1,220.00",,289,,|,,,,,,,
2,0,,,358,289,,,358,,289,,"1,220.00",,358,,---,,,,,,,
3,0,,,556,289,,,556,,289,,862,,198,,---,,,,,,,
4,288,,,358,288,,,556,,289,,198,,288,,|,,,,,,,
5,0,,,754,289,,,754,,289,,664,,198,,---,,,,,,,
6,288,,,556,288,,,754,,289,,198,,288,,|,,,,,,,
7,0,,,872,289,,,872,,289,,466,,118,,---,,,,,,,
8,288,,,754,288,,,872,,289,,118,,288,,|,,,,,,,
9,0,,,"1,070.00",289,,,"1,070.00",,289,,348,,198,,---,,,,,,,
10,288,,,872,288,,,"1,070.00",,289,,198,,288,,|,,,,,,,
11,0,,,"1,188.00",289,,,"1,188.00",,289,,150,,118,,---,,,,,,,
12,288,,,"1,070.00",288,,,"1,188.00",,289,,118,,288,,|,,,,,,,
13,656,,,0,656,,,"1,220.00",,"2,151.00",,"1,220.00",,367,,|,,,,,,,
14,289,,,289,656,,,289,,367,,"1,220.00",,289,,---,,,,,,,
15,289,,,578,656,,,578,,367,,931,,289,,---,,,,,,,
16,647,,,289,647,,,578,,367,,289,,358,,|,,,,,,,
17,289,,,"1,101.00",656,,,"1,101.00",,367,,642,,523,,---,,,,,,,
18,461.5,,,578,461.5,,,"1,101.00",,367,,523,,172.5,,|,,,,,,,
19,945,,,0,945,,,"1,220.00",,"1,784.00",,"1,220.00",,289,,|,,,,,,,
20,656,,,367,945,,,367,,289,,"1,220.00",,367,,---,,,,,,,
21,656,,,882,945,,,882,,289,,853,,515,,---,,,,,,,
22,656,,,"1,080.00",945,,,"1,080.00",,289,,338,,198,,---,,,,,,,
23,944,,,882,944,,,"1,080.00",,289,,198,,288,,|,,,,,,,
24,656,,,"1,198.00",945,,,"1,198.00",,289,,140,,118,,---,,,,,,,
25,944,,,"1,080.00",944,,,"1,198.00",,289,,118,,288,,|,,,,,,,
26,"1,460.00",,,0,"1,460.00",,,"1,220.00",,"1,495.00",,"1,220.00",,515,,|,,,,,,,
27,945,,,289,"1,460.00",,,289,,515,,"1,220.00",,289,,---,,,,,,,
28,945,,,578,"1,460.00",,,578,,515,,931,,289,,---,,,,,,,
29,945,,,750.5,"1,460.00",,,750.5,,515,,642,,172.5,,---,,,,,,,
30,"1,459.00",,,578,"1,459.00",,,750.5,,515,,172.5,,514,,|,,,,,,,
31,945,,,923,"1,460.00",,,923,,515,,469.5,,172.5,,---,,,,,,,
32,"1,459.00",,,750.5,"1,459.00",,,923,,515,,172.5,,514,,|,,,,,,,
33,945,,,"1,095.50","1,460.00",,,"1,095.50",,515,,297,,172.5,,---,,,,,,,
34,"1,459.00",,,923,"1,459.00",,,"1,095.50",,515,,172.5,,514,,|,,,,,,,
35,945,,,"1,188.00","1,460.00",,,"1,188.00",,515,,124.5,,92.5,,---,,,,,,,
36,"1,311.00",,,"1,095.50","1,311.00",,,"1,188.00",,515,,92.5,,366,,|,,,,,,,
37,"1,749.00",,,0,"1,749.00",,,"1,220.00",,980,,"1,220.00",,289,,|,,,,,,,
38,"1,460.00",,,524,"1,749.00",,,524,,289,,"1,220.00",,524,,---,,,,,,,
39,"1,460.00",,,722,"1,749.00",,,722,,289,,696,,198,,---,,,,,,,
40,"1,748.00",,,524,"1,748.00",,,722,,289,,198,,288,,|,,,,,,,
41,"1,460.00",,,920,"1,749.00",,,920,,289,,498,,198,,---,,,,,,,
42,"1,748.00",722,"1,748.00",920,289,198,288,|,,,,,,,,,,,,,,,
43,"1,460.00","1,118.00","1,749.00","1,118.00",289,300,198,---,,,,,,,,,,,,,,,
44,"1,748.00",920,"1,748.00","1,118.00",289,198,288,|,,,,,,,,,,,,,,,
45,"1,460.00","1,210.50","1,749.00","1,210.50",289,102,92.5,---,,,,,,,,,,,,,,,
46,"1,721.00","1,118.00","1,721.00","1,210.50",289,92.5,261,|,,,,,,,,,,,,,,,
47,"1,947.00",0,"1,947.00","1,220.00",691,"1,220.00",198,|,,,,,,,,,,,,,,,
48,"1,749.00",288,"1,947.00",288,198,"1,220.00",288,---,,,,,,,,,,,,,,,
49,"1,749.00",576,"1,947.00",576,198,932,288,---,,,,,,,,,,,,,,,
50,"1,867.00",288,"1,867.00",576,198,288,118,|,,,,,,,,,,,,,,,
51,"1,749.00","1,064.00","1,947.00","1,064.00",198,644,488,---,,,,,,,,,,,,,,,
52,"1,867.00",576,"1,867.00","1,064.00",198,488,118,|,,,,,,,,,,,,,,,
53,"2,209.00",0,"2,209.00","1,220.00",493,"1,220.00",262,|,,,,,,,,,,,,,,,
54,"1,947.00",489,"2,209.00",489,262,"1,220.00",489,---,,,,,,,,,,,,,,,
55,"1,947.00",777,"2,209.00",777,262,731,288,---,,,,,,,,,,,,,,,
56,"2,065.00",489,"2,065.00",777,262,288,118,|,,,,,,,,,,,,,,,
57,"2,183.00",489,"2,183.00",777,144,288,118,|,,,,,,,,,,,,,,,
58,"2,327.00",0,"2,327.00","1,220.00",231,"1,220.00",118,|,,,,,,,,,,,,,,,
59,"2,209.00",288,"2,327.00",288,118,"1,220.00",288,---,,,,,,,,,,,,,,,
60,"2,209.00",776,"2,327.00",776,118,932,488,---,,,,,,,,,,,,,,,
61,"2,209.00","1,064.00","2,327.00","1,064.00",118,444,288,---,,,,,,,,,,,,,,,
62,"2,419.50",0,"2,419.50","1,220.00",113,"1,220.00",92.5,|,,,,,,,,,,,,,,,
63,"2,327.00",357,"2,419.50",357,92.5,"1,220.00",357,---,,,,,,,,,,,,,,,
64,"2,327.00",723,"2,419.50",723,92.5,863,366,---,,,,,,,,,,,,,,,
65,"2,327.00","1,080.00","2,419.50","1,080.00",92.5,497,357,---,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 25,862.0)   25,862.0",,,,,,Count of cuts   (1 x 65)   65,,,,,,,,,,,,,,,,,
