Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23986,,,,,,,,,,0.0,,,,0.0,,,"1,748.5",,,359.0,,,,,
2,,24435,,,,,,,,,,0.0,,,,359.0,,,298.0,,,298.0,,,,,
3,,27204,,,,,,,,,,298.0,,,,359.0,,,38.0,,,298.0,,,*,,
4,,26597,,,,,,,,,,336.0,,,,359.0,,,"1,390.0",,,297.0,,,,,
5,,26642,,,,,,,,,,0.0,,,,657.0,,,298.0,,,298.0,,,,,
6,,22821,,,,,,,,,,298.0,,,,657.0,,,"1,390.0",,,297.0,,,,,
7,,23956,,,,,,,,,,0.0,,,,955.0,,,297.0,,,261.0,,,*,,
8,,25445,,,,,,,,,,297.0,,,,955.0,,,685.0,,,261.0,,,*,,
9,,26405,,*,,,,,*,,,982.0,,,,955.0,,,685.0,,,261.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,748.5",,,,0.0,,"1,748.5",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,748.5",,,|,,,
2,,0.0,,,,359.0,,"1,748.5",,,359.0,,,"1,748.5",,,"1,220.0",,,359.0,,,---,,,
3,,0.0,,,,657.0,,"1,748.5",,,657.0,,,"1,748.5",,,861.0,,,298.0,,,---,,,
4,,298.0,,,,359.0,,298.0,,,657.0,,,"1,748.5",,,298.0,,,298.0,,,|,,,
5,,336.0,,,,359.0,,336.0,,,657.0,,,"1,450.5",,,298.0,,,38.0,,,|,,,
6,,"1,726.0",,,,359.0,,"1,726.0",,,657.0,,,"1,412.5",,,298.0,,,"1,390.0",,,|,,,
7,,336.0,,,,656.0,,"1,726.0",,,656.0,,,"1,390.0",,,298.0,,,297.0,,,---,,,
8,,0.0,,,,955.0,,"1,748.5",,,955.0,,,"1,748.5",,,563.0,,,298.0,,,---,,,
9,,298.0,,,,657.0,,298.0,,,955.0,,,"1,748.5",,,298.0,,,298.0,,,|,,,
10,,"1,688.0",,,,657.0,,"1,688.0",,,955.0,,,"1,450.5",,,298.0,,,"1,390.0",,,|,,,
11,,298.0,,,,954.0,,"1,688.0",,,954.0,,,"1,390.0",,,298.0,,,297.0,,,---,,,
12,,0.0,,,,"1,216.0",,"1,748.5",,,"1,216.0",,,"1,748.5",,,265.0,,,261.0,,,---,,,
13,,297.0,,,,955.0,,297.0,,,"1,216.0",,,"1,748.5",,,261.0,,,297.0,,,|,,,
14,,982.0,,,,955.0,,982.0,,,"1,216.0",,,"1,451.5",,,261.0,,,685.0,,,|,,,
15,"1,667.0",955.0,"1,667.0","1,216.0",766.5,261.0,685.0,|
,,,,,,,,
"Sum of cuts   (1 x 13,267.0)   13,267.0",,,,,,Count of cuts   (1 x 15)   15,,,
