Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26170,,,,,,,,,,0.0,,,,0.0,,,"1,769.0",,,355.0,,,,,
2,,26606,,,,,,,,,,0.0,,,,355.0,,,"1,598.0",,,579.5,,,,,
3,,25369,,,,,,,,,,0.0,,,,934.5,,,779.0,,,267.0,,,,,
4,,23613,,,,,,,,,,779.0,,,,934.5,,,779.0,,,267.0,,,,,
5,,24882,,,,,,,,,,"1,769.0",,,,0.0,,,578.0,,,"1,188.0",,,*,,
6,,25031,,,,,,,,,,"2,347.0",,,,0.0,,,88.0,,,"1,048.0",,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,769.0",,,,0.0,,"1,769.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,769.0",,,|,,,
2,,0.0,,,,355.0,,"1,769.0",,,355.0,,,"1,769.0",,,"1,220.0",,,355.0,,,---,,,
3,,0.0,,,,934.5,,"1,769.0",,,934.5,,,"1,769.0",,,865.0,,,579.5,,,---,,,
4,,"1,598.0",,,,355.0,,"1,598.0",,,934.5,,,"1,769.0",,,579.5,,,"1,598.0",,,|,,,
5,,0.0,,,,"1,201.5",,"1,769.0",,,"1,201.5",,,"1,769.0",,,285.5,,,267.0,,,---,,,
6,,779.0,,,,934.5,,779.0,,,"1,201.5",,,"1,769.0",,,267.0,,,779.0,,,|,,,
7,,"1,558.0",,,,934.5,,"1,558.0",,,"1,201.5",,,990.0,,,267.0,,,779.0,,,|,,,
8,,"2,347.0",,,,0.0,,"2,347.0",,,"1,220.0",,,671.0,,,"1,220.0",,,578.0,,,|,,,
9,,"1,769.0",,,,"1,188.0",,"2,347.0",,,"1,188.0",,,578.0,,,"1,220.0",,,"1,188.0",,,---,,,
