Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,739,,,,,,,,,,0,,,,0,,,"2,423.00",,,578,,,
2,,2881,,,,,,,,,,0,,,,578,,,"2,423.00",,,578,,,
3,,1566,,,,,,,,,,0,,,,"1,156.00",,,"2,388.00",,,58,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,423.00",,,,0,,"2,423.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,423.00",,,|,,
2,,0,,,,578,,"2,423.00",,,578,,,"2,423.00",,,"1,220.00",,,578,,,---,,
3,,0,,,,"1,156.00",,"2,423.00",,,"1,156.00",,,"2,423.00",,,642,,,578,,,---,,
4,,0,,,,"1,214.00",,"2,423.00",,,"1,214.00",,,"2,423.00",,,64,,,58,,,---,,
5,,"2,388.00",,,,"1,156.00",,"2,388.00",,,"1,214.00",,,"2,423.00",,,58,,,"2,388.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,547.0)   8,547.0",,,,,,,,,,,,,,,Count of cuts   (1 x 5)   5,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
2 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2068,,,,,,,,,,0,,,,0,,,"2,326.00",,,577,,,
2,,605,,,,,,,,,,0,,,,577,,,"2,326.00",,,577,,,
3,,510,,,,,,,,,,0,,,,"1,154.00",,,"2,218.00",,,58,,,
4,,2787,,,,,,,,,,"2,326.00",,,,0,,,58,,,"1,000.00",,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,326.00",,,,0,,"2,326.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,326.00",,,|,,
2,,0,,,,577,,"2,326.00",,,577,,,"2,326.00",,,"1,220.00",,,577,,,---,,
3,,0,,,,"1,154.00",,"2,326.00",,,"1,154.00",,,"2,326.00",,,643,,,577,,,---,,
4,,0,,,,"1,212.00",,"2,326.00",,,"1,212.00",,,"2,326.00",,,66,,,58,,,---,,
5,,"2,218.00",,,,"1,154.00",,"2,218.00",,,"1,212.00",,,"2,326.00",,,58,,,"2,218.00",,,|,,
6,,"2,384.00",,,,0,,"2,384.00",,,"1,220.00",,,114,,,"1,220.00",,,58,,,|,,
7,,"2,326.00",,,,"1,000.00",,"2,384.00",,,"1,000.00",,,58,,,"1,220.00",,,"1,000.00",,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,534.0)   9,534.0",,,,,,,,,,,,,,,Count of cuts   (1 x 7)   7,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
3 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1397,,,,,,,,,,0,,,,0,,,796,,,377,,,
2,,202,,,,,,,,,,796,,,,0,,,796,,,377,,,
3,,3391,,,,,,,,,,"1,592.00",,,,0,,,796,,,377,,,
4,,2670,,,,,,,,,,0,,,,377,,,"1,482.00",,,377,,,
5,,3461,,,,,,,,,,"1,482.00",,,,377,,,796,,,377,,,
6,,2365,,,,,,,,,,0,,,,754,,,795,,,358,,,
7,,3136,,,,,,,,,,795,,,,754,,,795,,,358,,,
8,,2886,,,,,,,,,,"1,590.00",,,,754,,,731,,,358,,,
9,,2049,,,,,,,,,,0,,,,"1,112.00",,,"2,198.00",,,98,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,377,,"2,440.00",,,377,,,"2,440.00",,,"1,220.00",,,377,,,---,,
2,,796,,,,0,,796,,,377,,,"2,440.00",,,377,,,796,,,|,,
3,,"1,592.00",,,,0,,"1,592.00",,,377,,,"1,644.00",,,377,,,796,,,|,,
4,,"2,388.00",,,,0,,"2,388.00",,,377,,,848,,,377,,,796,,,|,,
5,,0,,,,754,,"2,440.00",,,754,,,"2,440.00",,,843,,,377,,,---,,
6,,"1,482.00",,,,377,,"1,482.00",,,754,,,"2,440.00",,,377,,,"1,482.00",,,|,,
7,,"2,278.00",,,,377,,"2,278.00",,,754,,,958,,,377,,,796,,,|,,
8,,0,,,,"1,112.00",,"2,440.00",,,"1,112.00",,,"2,440.00",,,466,,,358,,,---,,
9,,795,,,,754,,795,,,"1,112.00",,,"2,440.00",,,358,,,795,,,|,,
10,,"1,590.00",,,,754,,"1,590.00",,,"1,112.00",,,"1,645.00",,,358,,,795,,,|,,
11,,"2,321.00",,,,754,,"2,321.00",,,"1,112.00",,,850,,,358,,,731,,,|,,
12,,0,,,,"1,210.00",,"2,440.00",,,"1,210.00",,,"2,440.00",,,108,,,98,,,---,,
13,,"2,198.00",,,,"1,112.00",,"2,198.00",,,"1,210.00",,,"2,440.00",,,98,,,"2,198.00",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 12,817.0)   12,817.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
4 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2678,,,,,,,,,,0,,,,0,,,"2,368.00",,,58,,,
2,,1338,,,,,,,,,,0,,,,58,,,"2,162.00",,,557,,,
3,,3359,,,,,,,,,,0,,,,615,,,"2,162.00",,,575,,,
4,,815,,,,,,,,,,"2,368.00",,,,0,,,58,,,980,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,368.00",,,,0,,"2,368.00",,,"1,220.00",,,"2,440.00",,,"1,220.00",,,"2,368.00",,,|,,
2,,0,,,,58,,"2,368.00",,,58,,,"2,368.00",,,"1,220.00",,,58,,,---,,
3,,0,,,,615,,"2,368.00",,,615,,,"2,368.00",,,"1,162.00",,,557,,,---,,
4,,"2,162.00",,,,58,,"2,162.00",,,615,,,"2,368.00",,,557,,,"2,162.00",,,|,,
5,,0,,,,"1,190.00",,"2,368.00",,,"1,190.00",,,"2,368.00",,,605,,,575,,,---,,
6,,"2,162.00",,,,615,,"2,162.00",,,"1,190.00",,,"2,368.00",,,575,,,"2,162.00",,,|,,
7,,"2,426.00",,,,0,,"2,426.00",,,"1,220.00",,,72,,,"1,220.00",,,58,,,|,,
8,,"2,368.00",,,,980,,"2,426.00",,,980,,,58,,,"1,220.00",,,980,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,734.0)   10,734.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
5 of 5,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
