Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4656,,,,,,,,,,0.0,,,,0.0,,,598.0,,,261.0,,,*,,
2,,4637,,,,,,,,,,0.0,,,,261.0,,,298.0,,,333.0,,,,,
3,,7131,,,,,,,,,,298.0,,,,261.0,,,598.0,,,332.0,,,,,
4,,5917,,,,,,,,,,0.0,,,,594.0,,,298.0,,,333.0,,,,,
5,,5269,,,,,,,,,,298.0,,,,594.0,,,598.0,,,332.0,,,,,
6,,1283,,*,,,,,*,,,0.0,,,,927.0,,,793.0,,,239.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,896.0,,,,0.0,,896.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,896.0,,,|,,,
2,,0.0,,,,261.0,,896.0,,,261.0,,,896.0,,,"1,220.0",,,261.0,,,---,,,
3,,598.0,,,,0.0,,598.0,,,261.0,,,896.0,,,261.0,,,598.0,,,|,,,
4,,0.0,,,,594.0,,896.0,,,594.0,,,896.0,,,959.0,,,333.0,,,---,,,
5,,298.0,,,,261.0,,298.0,,,594.0,,,896.0,,,333.0,,,298.0,,,|,,,
6,,298.0,,,,593.0,,896.0,,,593.0,,,598.0,,,333.0,,,332.0,,,---,,,
7,,0.0,,,,927.0,,896.0,,,927.0,,,896.0,,,626.0,,,333.0,,,---,,,
8,,298.0,,,,594.0,,298.0,,,927.0,,,896.0,,,333.0,,,298.0,,,|,,,
9,,298.0,,,,926.0,,896.0,,,926.0,,,598.0,,,333.0,,,332.0,,,---,,,
10,,0.0,,,,"1,166.0",,896.0,,,"1,166.0",,,896.0,,,293.0,,,239.0,,,---,,,
11,,793.0,,,,927.0,,793.0,,,"1,166.0",,,896.0,,,239.0,,,793.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,166.0)   7,166.0",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,,,
