Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29182,,,,,,,,,,0.0,,,,0.0,,,418.0,,,348.0,,,,,
2,,29846,,,,,,,,,,0.0,,,,348.0,,,298.0,,,807.0,,,*,,
3,,31457,,,,,,,,,,418.0,,,,0.0,,,88.0,,,418.0,,,*,,
4,,28061,,,,,,,,,,506.0,,,,0.0,,,230.0,,,48.0,,,,,
5,,31211,,,,,,,,,,506.0,,,,48.0,,,88.0,,,418.0,,,*,,
6,,30982,,,,,,,,,,594.0,,,,48.0,,,88.0,,,418.0,,,*,,
7,,27701,,,,,,,,,,736.0,,,,0.0,,,"1,618.0",,,398.0,,,,,
8,,29663,,*,,,,,*,,,"2,354.0",,,,0.0,,,48.0,,,230.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,418.0,,,,0.0,,418.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,418.0,,,|,,,
2,,0.0,,,,348.0,,418.0,,,348.0,,,418.0,,,"1,220.0",,,348.0,,,---,,,
3,,0.0,,,,"1,155.0",,418.0,,,"1,155.0",,,418.0,,,872.0,,,807.0,,,---,,,
4,,298.0,,,,348.0,,298.0,,,"1,155.0",,,418.0,,,807.0,,,298.0,,,|,,,
5,,506.0,,,,0.0,,506.0,,,"1,220.0",,,"2,022.0",,,"1,220.0",,,88.0,,,|,,,
6,,418.0,,,,418.0,,506.0,,,418.0,,,88.0,,,"1,220.0",,,418.0,,,---,,,
7,,736.0,,,,0.0,,736.0,,,"1,220.0",,,"1,934.0",,,"1,220.0",,,230.0,,,|,,,
8,,506.0,,,,48.0,,736.0,,,48.0,,,230.0,,,"1,220.0",,,48.0,,,---,,,
9,,506.0,,,,466.0,,736.0,,,466.0,,,230.0,,,"1,172.0",,,418.0,,,---,,,
10,,594.0,,,,48.0,,594.0,,,466.0,,,230.0,,,418.0,,,88.0,,,|,,,
11,,682.0,,,,48.0,,682.0,,,466.0,,,142.0,,,418.0,,,88.0,,,|,,,
12,,"2,354.0",,,,0.0,,"2,354.0",,,"1,220.0",,,"1,704.0",,,"1,220.0",,,"1,618.0",,,|,,,
13,,736.0,,,,398.0,,"2,354.0",,,398.0,,,"1,618.0",,,"1,220.0",,,398.0,,,---,,,
14,,"2,402.0",,,,0.0,,"2,402.0",,,"1,220.0",,,86.0,,,"1,220.0",,,48.0,,,|,,,
15,,"2,354.0",,,,230.0,,"2,402.0",,,230.0,,,48.0,,,"1,220.0",,,230.0,,,---,,,
,
"Sum of cuts   (1 x 10,793.0)   10,793.0",,Count of cuts   (1 x 15)   15
