Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11731,,,,,,,,,,0.0,,,,0.0,,,"2,198.0",,,398.0,,,,,
2,,9117,,,,,,,,,,0.0,,,,398.0,,,"2,160.0",,,377.0,,,,,
3,,10671,,,,,,,,,,0.0,,,,775.0,,,430.0,,,378.0,,,,,
4,,11859,,,,,,,,,,430.0,,,,775.0,,,430.0,,,378.0,,,,,
5,,8087,,,,,,,,,,860.0,,,,775.0,,,503.0,,,358.0,,,,,
6,,12105,,,,,,,,,,"1,363.0",,,,775.0,,,377.0,,,351.5,,,*,,
7,,11267,,,,,,,,,,"1,740.0",,,,775.0,,,377.0,,,351.5,,,*,,
8,,10672,,,,,,,,,,0.0,,,,"1,153.0",,,"2,160.0",,,58.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,398.0,,"2,440.0",,,398.0,,,"2,440.0",,,"1,220.0",,,398.0,,,---,,,
2,,"2,198.0",,,,0.0,,"2,198.0",,,398.0,,,"2,440.0",,,398.0,,,"2,198.0",,,|,,,
3,,0.0,,,,775.0,,"2,440.0",,,775.0,,,"2,440.0",,,822.0,,,377.0,,,---,,,
4,,"2,160.0",,,,398.0,,"2,160.0",,,775.0,,,"2,440.0",,,377.0,,,"2,160.0",,,|,,,
5,,0.0,,,,"1,153.0",,"2,440.0",,,"1,153.0",,,"2,440.0",,,445.0,,,378.0,,,---,,,
6,,430.0,,,,775.0,,430.0,,,"1,153.0",,,"2,440.0",,,378.0,,,430.0,,,|,,,
7,,860.0,,,,775.0,,860.0,,,"1,153.0",,,"2,010.0",,,378.0,,,430.0,,,|,,,
8,,"1,363.0",,,,775.0,,"1,363.0",,,"1,153.0",,,"1,580.0",,,378.0,,,503.0,,,|,,,
9,,860.0,,,,"1,133.0",,"1,363.0",,,"1,133.0",,,503.0,,,378.0,,,358.0,,,---,,,
10,,"1,740.0",,,,775.0,,"1,740.0",,,"1,153.0",,,"1,077.0",,,378.0,,,377.0,,,|,,,
11,,"1,363.0",,,,"1,126.5",,"1,740.0",,,"1,126.5",,,377.0,,,378.0,,,351.5,,,---,,,
12,,"2,117.0",,,,775.0,,"2,117.0",,,"1,153.0",,,700.0,,,378.0,,,377.0,,,|,,,
13,,"1,740.0",,,,"1,126.5",,"2,117.0",,,"1,126.5",,,377.0,,,378.0,,,351.5,,,---,,,
14,,0.0,,,,"1,211.0",,"2,440.0",,,"1,211.0",,,"2,440.0",,,67.0,,,58.0,,,---,,,
15,,"2,160.0",,,,"1,153.0",,"2,160.0",,,"1,211.0",,,"2,440.0",,,58.0,,,"2,160.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 13,740.0)   13,740.0",,,,,,,,,,,,,,,Count of cuts   (1 x 15)   15,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,9975,,*,,,,,*,,,0.0,,,,0.0,,,"2,160.0",,,58.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,58.0,,"2,440.0",,,58.0,,,"2,440.0",,,"1,220.0",,,58.0,,,---,,
2,,"2,160.0",,,,0.0,,"2,160.0",,,58.0,,,"2,440.0",,,58.0,,,"2,160.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,498.0)   2,498.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
