Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5550,,,,,,,,,,0.0,,,,0.0,,,195.0,,,685.0,,,,
2,,6597,,,,,,,,,,195.0,,,,0.0,,,195.0,,,685.0,,,,
3,,3739,,,,,,,,,,390.0,,,,0.0,,,195.0,,,675.0,,,,
4,,5706,,,,,,,,,,585.0,,,,0.0,,,195.0,,,675.0,,,,
5,,5015,,,,,,,,,,780.0,,,,0.0,,,195.0,,,675.0,,,,
6,,6312,,,,,,,,,,975.0,,,,0.0,,,195.0,,,675.0,,,,
7,,32409,,*,,,,,*,,,0.0,,,,685.0,,,"1,332.0",,,380.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,332.0",,,,0.0,,"1,332.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,332.0",,,|,,
2,,0.0,,,,685.0,,"1,332.0",,,685.0,,,"1,332.0",,,"1,220.0",,,685.0,,,---,,
3,,195.0,,,,0.0,,195.0,,,685.0,,,"1,332.0",,,685.0,,,195.0,,,|,,
4,,390.0,,,,0.0,,390.0,,,685.0,,,"1,137.0",,,685.0,,,195.0,,,|,,
5,,585.0,,,,0.0,,585.0,,,685.0,,,942.0,,,685.0,,,195.0,,,|,,
6,,390.0,,,,675.0,,585.0,,,675.0,,,195.0,,,685.0,,,675.0,,,---,,
7,,780.0,,,,0.0,,780.0,,,685.0,,,747.0,,,685.0,,,195.0,,,|,,
8,,585.0,,,,675.0,,780.0,,,675.0,,,195.0,,,685.0,,,675.0,,,---,,
9,,975.0,,,,0.0,,975.0,,,685.0,,,552.0,,,685.0,,,195.0,,,|,,
10,,780.0,,,,675.0,,975.0,,,675.0,,,195.0,,,685.0,,,675.0,,,---,,
11,,"1,170.0",,,,0.0,,"1,170.0",,,685.0,,,357.0,,,685.0,,,195.0,,,|,,
12,,975.0,,,,675.0,,"1,170.0",,,675.0,,,195.0,,,685.0,,,675.0,,,---,,
13,,0.0,,,,"1,065.0",,"1,332.0",,,"1,065.0",,,"1,332.0",,,535.0,,,380.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,774.0)   8,774.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,,
