Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3169,,,,,,,,,,0.0,,,,0.0,,,438.0,,,158.0,,,,,
2,,2941,,,,,,,,,,438.0,,,,0.0,,,438.0,,,158.0,,,,,
3,,748,,,,,,,,,,0.0,,,,158.0,,,439.0,,,597.0,,,*,,
4,,1731,,,,,,,,,,439.0,,,,158.0,,,132.5,,,596.0,,,*,,
5,,1039,,,,,,,,,,571.5,,,,158.0,,,132.5,,,596.0,,,*,,
6,,1164,,,,,,,,,,704.0,,,,158.0,,,158.0,,,438.0,,,*,,
7,,1081,,,,,,,,,,0.0,,,,755.0,,,597.0,,,439.0,,,,,
8,,2797,,*,,,,,*,,,597.0,,,,755.0,,,158.0,,,438.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,876.0,,,,0.0,,876.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,876.0,,,|,,,
2,,0.0,,,,158.0,,876.0,,,158.0,,,876.0,,,"1,220.0",,,158.0,,,---,,,
3,,438.0,,,,0.0,,438.0,,,158.0,,,876.0,,,158.0,,,438.0,,,|,,,
4,,0.0,,,,755.0,,876.0,,,755.0,,,876.0,,,"1,062.0",,,597.0,,,---,,,
5,,439.0,,,,158.0,,439.0,,,755.0,,,876.0,,,597.0,,,439.0,,,|,,,
6,,571.5,,,,158.0,,571.5,,,755.0,,,437.0,,,597.0,,,132.5,,,|,,,
7,,439.0,,,,754.0,,571.5,,,754.0,,,132.5,,,597.0,,,596.0,,,---,,,
8,,704.0,,,,158.0,,704.0,,,755.0,,,304.5,,,597.0,,,132.5,,,|,,,
9,,571.5,,,,754.0,,704.0,,,754.0,,,132.5,,,597.0,,,596.0,,,---,,,
10,,862.0,,,,158.0,,862.0,,,755.0,,,172.0,,,597.0,,,158.0,,,|,,,
11,,704.0,,,,596.0,,862.0,,,596.0,,,158.0,,,597.0,,,438.0,,,---,,,
12,,0.0,,,,"1,194.0",,876.0,,,"1,194.0",,,876.0,,,465.0,,,439.0,,,---,,,
13,,597.0,,,,755.0,,597.0,,,"1,194.0",,,876.0,,,439.0,,,597.0,,,|,,,
14,,755.0,,,,755.0,,755.0,,,"1,194.0",,,279.0,,,439.0,,,158.0,,,|,,,
15,,597.0,,,,"1,193.0",,755.0,,,"1,193.0",,,158.0,,,439.0,,,438.0,,,---,,,
,
"Sum of cuts   (1 x 7,853.0)   7,853.0",,Count of cuts   (1 x 15)   15
