Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,485,,,,,,,,,,0.0,,,,0.0,,,466.5,,,781.0,,,*,,
2,,998,,,,,,,,,,466.5,,,,0.0,,,466.5,,,781.0,,,*,,
3,,8,,,,,,,,,,933.0,,,,0.0,,,466.5,,,781.0,,,*,,
4,,734,,,,,,,,,,"1,399.5",,,,0.0,,,466.5,,,781.0,,,*,,
5,,802,,,,,,,,,,"1,866.0",,,,0.0,,,570.0,,,385.0,,,,,
6,,305,,,,,,,,,,"1,866.0",,,,385.0,,,570.0,,,385.0,,,,,
7,,3285,,,,,,,,,,0.0,,,,781.0,,,830.0,,,395.0,,,,,
8,,1555,,,,,,,,,,830.0,,,,781.0,,,830.0,,,395.0,,,,,
9,,1072,,,,,,,,,,"1,660.0",,,,781.0,,,570.0,,,385.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,781.0,,"2,440.0",,,781.0,,,"2,440.0",,,"1,220.0",,,781.0,,,---,,,
2,,466.5,,,,0.0,,466.5,,,781.0,,,"2,440.0",,,781.0,,,466.5,,,|,,,
3,,933.0,,,,0.0,,933.0,,,781.0,,,"1,973.5",,,781.0,,,466.5,,,|,,,
4,,"1,399.5",,,,0.0,,"1,399.5",,,781.0,,,"1,507.0",,,781.0,,,466.5,,,|,,,
5,,"1,866.0",,,,0.0,,"1,866.0",,,781.0,,,"1,040.5",,,781.0,,,466.5,,,|,,,
6,,"2,436.0",,,,0.0,,"2,436.0",,,781.0,,,574.0,,,781.0,,,570.0,,,|,,,
7,,"1,866.0",,,,385.0,,"2,436.0",,,385.0,,,570.0,,,781.0,,,385.0,,,---,,,
8,,"1,866.0",,,,770.0,,"2,436.0",,,770.0,,,570.0,,,396.0,,,385.0,,,---,,,
9,,0.0,,,,"1,176.0",,"2,440.0",,,"1,176.0",,,"2,440.0",,,439.0,,,395.0,,,---,,,
10,,830.0,,,,781.0,,830.0,,,"1,176.0",,,"2,440.0",,,395.0,,,830.0,,,|,,,
11,,"1,660.0",,,,781.0,,"1,660.0",,,"1,176.0",,,"1,610.0",,,395.0,,,830.0,,,|,,,
12,,"2,230.0",,,,781.0,,"2,230.0",,,"1,176.0",,,780.0,,,395.0,,,570.0,,,|,,,
13,,"1,660.0",,,,"1,166.0",,"2,230.0",,,"1,166.0",,,570.0,,,395.0,,,385.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,680.0)   11,680.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,558,,,,,,,,,,0.0,,,,0.0,,,467.0,,,239.0,,,,
2,,3107,,,,,,,,,,0.0,,,,239.0,,,467.0,,,239.0,,,,
3,,1034,,,,,,,,,,0.0,,,,478.0,,,467.0,,,239.0,,,,
4,,864,,,,,,,,,,0.0,,,,717.0,,,915.0,,,495.0,,,,
5,,1797,,,,,,,,,,915.0,,,,717.0,,,917.0,,,495.0,,,,
6,,1901,,*,,,,,*,,,"1,832.0",,,,717.0,,,570.0,,,385.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,915.0,,,,0.0,,915.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,915.0,,,|,,
2,,0.0,,,,239.0,,915.0,,,239.0,,,915.0,,,"1,220.0",,,239.0,,,---,,
3,,467.0,,,,0.0,,467.0,,,239.0,,,915.0,,,239.0,,,467.0,,,|,,
4,,0.0,,,,478.0,,915.0,,,478.0,,,915.0,,,981.0,,,239.0,,,---,,
5,,467.0,,,,239.0,,467.0,,,478.0,,,915.0,,,239.0,,,467.0,,,|,,
6,,0.0,,,,717.0,,915.0,,,717.0,,,915.0,,,742.0,,,239.0,,,---,,
7,,467.0,,,,478.0,,467.0,,,717.0,,,915.0,,,239.0,,,467.0,,,|,,
8,,0.0,,,,"1,212.0",,915.0,,,"1,212.0",,,915.0,,,503.0,,,495.0,,,---,,
9,,"1,832.0",,,,0.0,,"1,832.0",,,"1,220.0",,,"1,525.0",,,"1,220.0",,,917.0,,,|,,
10,,915.0,,,,717.0,,"1,832.0",,,717.0,,,917.0,,,"1,220.0",,,717.0,,,---,,
11,,915.0,,,,"1,212.0",,"1,832.0",,,"1,212.0",,,917.0,,,503.0,,,495.0,,,---,,
12,,"1,832.0",,,,717.0,,"2,440.0",,,717.0,,,608.0,,,"1,220.0",,,717.0,,,---,,
13,,"1,832.0",,,,"1,102.0",,"2,440.0",,,"1,102.0",,,608.0,,,503.0,,,385.0,,,---,,
14,,"2,402.0",,,,717.0,,"2,402.0",,,"1,102.0",,,608.0,,,385.0,,,570.0,,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,252.0)   10,252.0",,,,,,,,,,,,,,,Count of cuts   (1 x 14)   14,,,,,,,,,,,
