Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 5,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31930,,,,,,,,,,0.0,,,,0.0,,,883.0,,,"1,137.0",,,*,,
2,,30315,,,,,,,,,,883.0,,,,0.0,,,"1,418.0",,,468.0,,,,,
3,,31879,,,,,,,,,,883.0,,,,468.0,,,"1,417.5",,,668.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,883.0,,,,0.0,,883.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,883.0,,,|,,,
2,,0.0,,,,"1,137.0",,883.0,,,"1,137.0",,,883.0,,,"1,220.0",,,"1,137.0",,,---,,,
3,,"2,301.0",,,,0.0,,"2,301.0",,,"1,220.0",,,"1,557.0",,,"1,220.0",,,"1,418.0",,,|,,,
4,,883.0,,,,468.0,,"2,301.0",,,468.0,,,"1,418.0",,,"1,220.0",,,468.0,,,---,,,
5,,883.0,,,,"1,136.0",,"2,301.0",,,"1,136.0",,,"1,418.0",,,752.0,,,668.0,,,---,,,
6,,"2,300.5",,,,468.0,,"2,300.5",,,"1,136.0",,,"1,418.0",,,668.0,,,"1,417.5",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,827.0)   6,827.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 5,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30932,,,,,,,,,,0.0,,,,0.0,,,"2,158.0",,,538.0,,,,
2,,30655,,,,,,,,,,0.0,,,,538.0,,,"2,397.5",,,548.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,538.0,,"2,440.0",,,538.0,,,"2,440.0",,,"1,220.0",,,538.0,,,---,,
2,,"2,158.0",,,,0.0,,"2,158.0",,,538.0,,,"2,440.0",,,538.0,,,"2,158.0",,,|,,
3,,0.0,,,,"1,086.0",,"2,440.0",,,"1,086.0",,,"2,440.0",,,682.0,,,548.0,,,---,,
4,,"2,397.5",,,,538.0,,"2,397.5",,,"1,086.0",,,"2,440.0",,,548.0,,,"2,397.5",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,966.0)   5,966.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 5,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,30100,,,,,,,,,,0.0,,,,0.0,,,"2,128.0",,,468.0,,,,
2,,29916,,,,,,,,,,0.0,,,,468.0,,,"1,348.0",,,668.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,468.0,,"2,440.0",,,468.0,,,"2,440.0",,,"1,220.0",,,468.0,,,---,,
2,,"2,128.0",,,,0.0,,"2,128.0",,,468.0,,,"2,440.0",,,468.0,,,"2,128.0",,,|,,
3,,0.0,,,,"1,136.0",,"2,440.0",,,"1,136.0",,,"2,440.0",,,752.0,,,668.0,,,---,,
4,,"1,348.0",,,,468.0,,"1,348.0",,,"1,136.0",,,"2,440.0",,,668.0,,,"1,348.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,016.0)   6,016.0",,,,,,,,,,,,,,,Count of cuts   (1 x 4)   4,,,,,,,,,,,
