Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33069,,,,,,,,,,0.0,,,,0.0,,,667.5,,,734.0,,,*,,
2,,35303,,,,,,,,,,667.5,,,,0.0,,,667.5,,,734.0,,,*,,
3,,36878,,,,,,,,,,"1,335.0",,,,0.0,,,942.0,,,734.0,,,,,
4,,35251,,,,,,,,,,0.0,,,,734.0,,,"2,433.0",,,388.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,734.0,,"2,440.0",,,734.0,,,"2,440.0",,,"1,220.0",,,734.0,,,---,,,
2,,667.5,,,,0.0,,667.5,,,734.0,,,"2,440.0",,,734.0,,,667.5,,,|,,,
3,,"1,335.0",,,,0.0,,"1,335.0",,,734.0,,,"1,772.5",,,734.0,,,667.5,,,|,,,
4,,"2,277.0",,,,0.0,,"2,277.0",,,734.0,,,"1,105.0",,,734.0,,,942.0,,,|,,,
5,,0.0,,,,"1,122.0",,"2,440.0",,,"1,122.0",,,"2,440.0",,,486.0,,,388.0,,,---,,,
6,,"2,433.0",,,,734.0,,"2,433.0",,,"1,122.0",,,"2,440.0",,,388.0,,,"2,433.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,470.0)   7,470.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,35910,,,,,,,,,,0.0,,,,0.0,,,"2,038.0",,,668.0,,,,
2,,33188,,,,,,,,,,0.0,,,,668.0,,,734.0,,,547.0,,,,
3,,33473,,,,,,,,,,734.0,,,,668.0,,,"1,238.0",,,348.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,668.0,,"2,440.0",,,668.0,,,"2,440.0",,,"1,220.0",,,668.0,,,---,,
2,,"2,038.0",,,,0.0,,"2,038.0",,,668.0,,,"2,440.0",,,668.0,,,"2,038.0",,,|,,
3,,734.0,,,,668.0,,734.0,,,"1,220.0",,,"2,440.0",,,552.0,,,734.0,,,|,,
4,,0.0,,,,"1,215.0",,734.0,,,"1,215.0",,,734.0,,,552.0,,,547.0,,,---,,
5,,"1,972.0",,,,668.0,,"1,972.0",,,"1,220.0",,,"1,706.0",,,552.0,,,"1,238.0",,,|,,
6,,734.0,,,,"1,016.0",,"1,972.0",,,"1,016.0",,,"1,238.0",,,552.0,,,348.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,184.0)   6,184.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,35092,,,,,,,,,,0.0,,,,0.0,,,"1,418.0",,,578.0,,,,,
2,,33372,,,,,,,,,,0.0,,,,578.0,,,"1,238.0",,,348.0,,,,,
3,,36506,,*,,,,,*,,,"1,418.0",,,,0.0,,,597.0,,,734.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
