Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3628,,,,,,,,,,0.0,,,,0.0,,,498.0,,,"1,192.0",,,*,,
2,,5358,,,,,,,,,,498.0,,,,0.0,,,"1,920.0",,,406.0,,,,,
3,,4089,,,,,,,,,,498.0,,,,406.0,,,"1,920.0",,,406.0,,,,,
4,,7129,,,,,,,,,,498.0,,,,812.0,,,461.0,,,406.0,,,,,
5,,3735,,,,,,,,,,959.0,,,,812.0,,,461.0,,,406.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,498.0,,,,0.0,,498.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,498.0,,,|,,,
2,,0.0,,,,"1,192.0",,498.0,,,"1,192.0",,,498.0,,,"1,220.0",,,"1,192.0",,,---,,,
3,,"2,418.0",,,,0.0,,"2,418.0",,,"1,220.0",,,"1,942.0",,,"1,220.0",,,"1,920.0",,,|,,,
4,,498.0,,,,406.0,,"2,418.0",,,406.0,,,"1,920.0",,,"1,220.0",,,406.0,,,---,,,
5,,498.0,,,,812.0,,"2,418.0",,,812.0,,,"1,920.0",,,814.0,,,406.0,,,---,,,
6,,498.0,,,,"1,218.0",,"2,418.0",,,"1,218.0",,,"1,920.0",,,408.0,,,406.0,,,---,,,
7,,959.0,,,,812.0,,959.0,,,"1,218.0",,,"1,920.0",,,406.0,,,461.0,,,|,,,
8,,"1,420.0",,,,812.0,,"1,420.0",,,"1,218.0",,,"1,459.0",,,406.0,,,461.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,510.0)   9,510.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3832,,,,,,,,,,0.0,,,,0.0,,,398.0,,,837.0,,,,
2,,5390,,,,,,,,,,398.0,,,,0.0,,,"1,981.0",,,837.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,837.0,,"2,440.0",,,837.0,,,"2,440.0",,,"1,220.0",,,837.0,,,---,,
2,,398.0,,,,0.0,,398.0,,,837.0,,,"2,440.0",,,837.0,,,398.0,,,|,,
3,,"2,379.0",,,,0.0,,"2,379.0",,,837.0,,,"2,042.0",,,837.0,,,"1,981.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 4,114.0)   4,114.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5299,,*,,,,,*,,,0.0,,,,0.0,,,"2,362.0",,,498.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,498.0,,"2,440.0",,,498.0,,,"2,440.0",,,"1,220.0",,,498.0,,,---,,
2,,"2,362.0",,,,0.0,,"2,362.0",,,498.0,,,"2,440.0",,,498.0,,,"2,362.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,938.0)   2,938.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
