Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat
1 of 2,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,
,,,,,,,,,,,,,,,,,,,,,,,
1,,24833,,,,,,,,,,0,,,,0,,,498,,,118,
2,,22707,,,,,,,,,,0,,,,118,,,498,,,198,
3,,26505,,,,,,,,,,0,,,,316,,,492,,,289,
4,,23352,,,,,,,,,,0,,,,605,,,492,,,289,
5,,22834,,,,,,,,,,0,,,,894,,,491,,,92.5,
6,,25548,,,,,,,,,,0,,,,986.5,,,491,,,92.5,
7,,24684,,,,,,,,,,0,,,,"1,079.00",,,491,,,92.5,
8,,26371,,,,,,,,,,498,,,,0,,,118,,,288,
9,,23911,,,,,,,,,,498,,,,288,,,118,,,288,
10,,27260,,,,,,,,,,498,,,,576,,,92.5,,,609,
11,,26253,,,,,,,,,,616,,,,0,,,289,,,492,
12,,26837,,,,,,,,,,616,,,,492,,,289,,,492,
13,,23047,,,,,,,,,,616,,,,984,,,288,,,118,
14,,27011,,,,,,,,,,616,,,,"1,102.00",,,288,,,118,
15,,26719,,,,,,,,,,905,,,,0,,,610,,,499,
16,,23984,,,,,,,,,,905,,,,499,,,610,,,499,
17,,25949,,,,,,,,,,905,,,,998,,,609,,,172.5,
18,,24158,,,,,,,,,,"1,515.00",,,,0,,,499,,,610,
19,,25564,,,,,,,,,,"1,515.00",,,,610,,,498,,,158,
20,,25006,,,,,,,,,,"1,515.00",,,,768,,,498,,,198,
21,,25438,,,,,,,,,,"1,515.00",,,,966,,,498,,,158,
22,,23865,,,,,,,,,,"1,515.00",,,,"1,124.00",,,491,,,92.5,
23,,24072,,,,,,,,,,"2,014.00",,,,0,,,80,,,900,
24,,25230,,,,,,,,,,"2,094.00",,,,0,,,118,,,288,
25,,23636,,,,,,,,,,"2,094.00",,,,288,,,118,,,288,
26,,22627,,,,,,,,,,"2,094.00",,,,576,,,118,,,288,
27,,25407,,,,,,,,,,"2,094.00",,,,864,,,118,,,288,
28,,27080,,,,,,,,,,"2,212.00",,,,0,,,132.5,,,609,
29,,27411,,,,,,,,,,"2,212.00",,,,609,,,118,,,498,
30,,26969,,,,,,,,,,"2,344.50",,,,0,,,80,,,900,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,498,,,0,498,,,"1,220.00",,"2,440.00",,"1,220.00",,498,,|,,,,,,,
2,0,,,118,498,,,118,,498,,"1,220.00",,118,,---,,,,,,,
3,0,,,316,498,,,316,,498,,"1,102.00",,198,,---,,,,,,,
4,0,,,605,498,,,605,,498,,904,,289,,---,,,,,,,
5,492,,,316,492,,,605,,498,,289,,492,,|,,,,,,,
6,0,,,894,498,,,894,,498,,615,,289,,---,,,,,,,
7,492,,,605,492,,,894,,498,,289,,492,,|,,,,,,,
