Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33752,,,,,,,,,,0.0,,,,0.0,,,770.0,,,558.0,,,,,
2,,33883,,,,,,,,,,770.0,,,,0.0,,,770.0,,,558.0,,,,,
3,,35947,,,,,,,,,,"1,540.0",,,,0.0,,,288.0,,,542.0,,,*,,
4,,35118,,,,,,,,,,"1,828.0",,,,0.0,,,308.0,,,542.0,,,*,,
5,,35421,,,,,,,,,,"2,136.0",,,,0.0,,,288.0,,,541.0,,,*,,
6,,34421,,,,,,,,,,0.0,,,,558.0,,,"2,432.0",,,328.0,,,,,
7,,36434,,,,,,,,,,0.0,,,,886.0,,,"2,432.0",,,328.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,558.0,,"2,440.0",,,558.0,,,"2,440.0",,,"1,220.0",,,558.0,,,---,,,
2,,770.0,,,,0.0,,770.0,,,558.0,,,"2,440.0",,,558.0,,,770.0,,,|,,,
3,,"1,540.0",,,,0.0,,"1,540.0",,,558.0,,,"1,670.0",,,558.0,,,770.0,,,|,,,
4,,"1,828.0",,,,0.0,,"1,828.0",,,558.0,,,900.0,,,558.0,,,288.0,,,|,,,
5,,"1,540.0",,,,542.0,,"1,828.0",,,542.0,,,288.0,,,558.0,,,542.0,,,---,,,
6,,"2,136.0",,,,0.0,,"2,136.0",,,558.0,,,612.0,,,558.0,,,308.0,,,|,,,
7,,"1,828.0",,,,542.0,,"2,136.0",,,542.0,,,308.0,,,558.0,,,542.0,,,---,,,
8,,"2,424.0",,,,0.0,,"2,424.0",,,558.0,,,304.0,,,558.0,,,288.0,,,|,,,
9,,"2,136.0",,,,541.0,,"2,424.0",,,541.0,,,288.0,,,558.0,,,541.0,,,---,,,
10,,0.0,,,,886.0,,"2,440.0",,,886.0,,,"2,440.0",,,662.0,,,328.0,,,---,,,
11,,"2,432.0",,,,558.0,,"2,432.0",,,886.0,,,"2,440.0",,,328.0,,,"2,432.0",,,|,,,
12,,0.0,,,,"1,214.0",,"2,440.0",,,"1,214.0",,,"2,440.0",,,334.0,,,328.0,,,---,,,
13,,"2,432.0",,,,886.0,,"2,432.0",,,"1,214.0",,,"2,440.0",,,328.0,,,"2,432.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,650.0)   11,650.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 4,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,35715,,,,,,,,,,0.0,,,,0.0,,,"2,432.0",,,580.0,,,,
2,,37370,,,,,,,,,,0.0,,,,580.0,,,"1,618.0",,,58.0,,,,
3,,36378,,,,,,,,,,0.0,,,,638.0,,,"2,432.0",,,580.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"2,432.0",,,,0.0,,"2,432.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"2,432.0",,,|,,
2,,0.0,,,,580.0,,"2,432.0",,,580.0,,,"2,432.0",,,"1,220.0",,,580.0,,,---,,
