Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,10036,,,,,,,,,,0.0,,,,0.0,,,"1,778.0",,,576.0,,,,,
2,,11308,,,,,,,,,,0.0,,,,576.0,,,742.0,,,547.0,,,,,
3,,11961,,,,,,,,,,742.0,,,,576.0,,,742.0,,,547.0,,,,,
4,,9963,,,,,,,,,,"1,778.0",,,,0.0,,,548.0,,,998.0,,,*,,
5,,10197,,,,,,,,,,"1,778.0",,,,998.0,,,438.0,,,118.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,778.0",,,,0.0,,"1,778.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,778.0",,,|,,,
2,,0.0,,,,576.0,,"1,778.0",,,576.0,,,"1,778.0",,,"1,220.0",,,576.0,,,---,,,
3,,0.0,,,,"1,123.0",,"1,778.0",,,"1,123.0",,,"1,778.0",,,644.0,,,547.0,,,---,,,
4,,742.0,,,,576.0,,742.0,,,"1,123.0",,,"1,778.0",,,547.0,,,742.0,,,|,,,
5,,"1,484.0",,,,576.0,,"1,484.0",,,"1,123.0",,,"1,036.0",,,547.0,,,742.0,,,|,,,
6,,"2,326.0",,,,0.0,,"2,326.0",,,"1,220.0",,,662.0,,,"1,220.0",,,548.0,,,|,,,
7,,"1,778.0",,,,998.0,,"2,326.0",,,998.0,,,548.0,,,"1,220.0",,,998.0,,,---,,,
8,,"1,778.0",,,,"1,116.0",,"2,326.0",,,"1,116.0",,,548.0,,,222.0,,,118.0,,,---,,,
9,,"2,216.0",,,,998.0,,"2,216.0",,,"1,116.0",,,548.0,,,118.0,,,438.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,304.0)   8,304.0",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,10345,,,,,,,,,,0.0,,,,0.0,,,"1,998.0",,,560.0,,,,
2,,8957,,,,,,,,,,0.0,,,,560.0,,,742.0,,,559.0,,,,
3,,9436,,*,,,,,*,,,742.0,,,,560.0,,,742.0,,,500.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,560.0,,"2,440.0",,,560.0,,,"2,440.0",,,"1,220.0",,,560.0,,,---,,
2,,"1,998.0",,,,0.0,,"1,998.0",,,560.0,,,"2,440.0",,,560.0,,,"1,998.0",,,|,,
3,,742.0,,,,560.0,,742.0,,,"1,220.0",,,"2,440.0",,,660.0,,,742.0,,,|,,
4,,0.0,,,,"1,119.0",,742.0,,,"1,119.0",,,742.0,,,660.0,,,559.0,,,---,,
5,,"1,484.0",,,,560.0,,"1,484.0",,,"1,220.0",,,"1,698.0",,,660.0,,,742.0,,,|,,
6,,742.0,,,,"1,060.0",,"1,484.0",,,"1,060.0",,,742.0,,,660.0,,,500.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,804.0)   5,804.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,
