Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5186,,,,,,,,,,0.0,,,,0.0,,,380.3,,,625.0,,,*,,
2,,4552,,,,,,,,,,0.0,,,,625.0,,,322.0,,,222.0,,,*,,
3,,3976,,,,,,,,,,0.0,,,,847.0,,,322.0,,,222.0,,,*,,
4,,5560,,,,,,,,,,0.0,,,,"1,069.0",,,298.5,,,128.0,,,,,
5,,6406,,,,,,,,,,380.3,,,,0.0,,,"2,056.0",,,380.0,,,,,
6,,6407,,,,,,,,,,380.3,,,,380.0,,,"2,055.5",,,380.3,,,,,
7,,5146,,,,,,,,,,380.3,,,,760.3,,,872.0,,,323.0,,,,,
8,,4858,,,,,,,,,,"1,252.3",,,,760.3,,,872.0,,,323.0,,,,,
9,,4105,,,,,,,,,,380.3,,,,"1,083.3",,,780.0,,,128.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,380.3,,,,0.0,,380.3,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,380.3,,,|,,,
2,,0.0,,,,625.0,,380.3,,,625.0,,,380.3,,,"1,220.0",,,625.0,,,---,,,
3,,0.0,,,,847.0,,380.3,,,847.0,,,380.3,,,595.0,,,222.0,,,---,,,
4,,322.0,,,,625.0,,322.0,,,847.0,,,380.3,,,222.0,,,322.0,,,|,,,
5,,0.0,,,,"1,069.0",,380.3,,,"1,069.0",,,380.3,,,373.0,,,222.0,,,---,,,
6,,322.0,,,,847.0,,322.0,,,"1,069.0",,,380.3,,,222.0,,,322.0,,,|,,,
7,,0.0,,,,"1,197.0",,380.3,,,"1,197.0",,,380.3,,,151.0,,,128.0,,,---,,,
8,,298.5,,,,"1,069.0",,298.5,,,"1,197.0",,,380.3,,,128.0,,,298.5,,,|,,,
9,,380.3,,,,380.0,,"2,440.0",,,380.0,,,"2,059.7",,,"1,220.0",,,380.0,,,---,,,
10,,"2,436.3",,,,0.0,,"2,436.3",,,380.0,,,"2,059.7",,,380.0,,,"2,056.0",,,|,,,
11,,380.3,,,,760.3,,"2,440.0",,,760.3,,,"2,059.7",,,840.0,,,380.3,,,---,,,
12,,"2,435.8",,,,380.0,,"2,435.8",,,760.3,,,"2,059.7",,,380.3,,,"2,055.5",,,|,,,
13,,380.3,,,,"1,083.3",,"2,440.0",,,"1,083.3",,,"2,059.7",,,459.7,,,323.0,,,---,,,
14,,"1,252.3",,,,760.3,,"1,252.3",,,"1,083.3",,,"2,059.7",,,323.0,,,872.0,,,|,,,
15,"2,124.3",760.3,"2,124.3","1,083.3","1,187.7",323.0,872.0,|
16,380.3,"1,211.3","2,440.0","1,211.3","2,059.7",136.7,128.0,---
17,"1,160.3","1,083.3","1,160.3","1,211.3","2,059.7",128.0,780.0,|
,,,,,,,,
"Sum of cuts   (1 x 13,086.3)   13,086.3",,,,,,Count of cuts   (1 x 17)   17,,,
