Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5736,,,,,,,,,,0.0,,,,0.0,,,323.0,,,448.0,,,*,,
2,,6354,,,,,,,,,,323.0,,,,0.0,,,659.0,,,411.0,,,*,,
3,,6567,,,,,,,,,,982.0,,,,0.0,,,598.0,,,411.0,,,*,,
4,,6723,,,,,,,,,,0.0,,,,448.0,,,"1,277.0",,,322.0,,,,,
5,,6724,,,,,,,,,,0.0,,,,770.0,,,323.0,,,448.0,,,*,,
6,,7296,,*,,,,,*,,,323.0,,,,770.0,,,"1,277.0",,,322.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,600.0",,,,0.0,,"1,600.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,600.0",,,|,,,
2,,0.0,,,,448.0,,"1,600.0",,,448.0,,,"1,600.0",,,"1,220.0",,,448.0,,,---,,,
3,,323.0,,,,0.0,,323.0,,,448.0,,,"1,600.0",,,448.0,,,323.0,,,|,,,
4,,982.0,,,,0.0,,982.0,,,448.0,,,"1,277.0",,,448.0,,,659.0,,,|,,,
5,,323.0,,,,411.0,,982.0,,,411.0,,,659.0,,,448.0,,,411.0,,,---,,,
6,,"1,580.0",,,,0.0,,"1,580.0",,,448.0,,,618.0,,,448.0,,,598.0,,,|,,,
7,,982.0,,,,411.0,,"1,580.0",,,411.0,,,598.0,,,448.0,,,411.0,,,---,,,
8,,0.0,,,,770.0,,"1,600.0",,,770.0,,,"1,600.0",,,772.0,,,322.0,,,---,,,
9,,"1,277.0",,,,448.0,,"1,277.0",,,770.0,,,"1,600.0",,,322.0,,,"1,277.0",,,|,,,
10,,323.0,,,,770.0,,323.0,,,"1,220.0",,,"1,600.0",,,450.0,,,323.0,,,|,,,
11,,0.0,,,,"1,218.0",,323.0,,,"1,218.0",,,323.0,,,450.0,,,448.0,,,---,,,
12,,323.0,,,,"1,092.0",,"1,600.0",,,"1,092.0",,,"1,277.0",,,450.0,,,322.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,393.0)   9,393.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,,,
