Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,6563,,,,,,,,,,0.0,,,,0.0,,,"1,498.0",,,448.0,,,,,
2,,5477,,,,,,,,,,0.0,,,,448.0,,,"1,498.0",,,448.0,,,,,
3,,6513,,,,,,,,,,"1,498.0",,,,0.0,,,348.0,,,"1,198.0",,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,498.0",,,,0.0,,"1,498.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,498.0",,,|,,,
2,,0.0,,,,448.0,,"1,498.0",,,448.0,,,"1,498.0",,,"1,220.0",,,448.0,,,---,,,
3,,0.0,,,,896.0,,"1,498.0",,,896.0,,,"1,498.0",,,772.0,,,448.0,,,---,,,
4,,"1,846.0",,,,0.0,,"1,846.0",,,"1,220.0",,,942.0,,,"1,220.0",,,348.0,,,|,,,
5,,"1,498.0",,,,"1,198.0",,"1,846.0",,,"1,198.0",,,348.0,,,"1,220.0",,,"1,198.0",,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 5,784.0)   5,784.0",,,,,,,,,,,,,,,Count of cuts   (1 x 5)   5,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,37157,,*,,,,,*,,,0.0,,,,0.0,,,"1,228.0",,,328.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,228.0",,,,0.0,,"1,228.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,228.0",,,|,,
2,,0.0,,,,328.0,,"1,228.0",,,328.0,,,"1,228.0",,,"1,220.0",,,328.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,448.0)   2,448.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
