Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2355,,,,,,,,,,0.0,,,,0.0,,,"1,518.0",,,58.0,,,,,
2,,2180,,,,,,,,,,0.0,,,,58.0,,,"1,498.0",,,58.0,,,,,
3,,1753,,,,,,,,,,0.0,,,,116.0,,,802.0,,,147.0,,,,,
4,,1590,,,,,,,,,,802.0,,,,116.0,,,802.0,,,147.0,,,,,
5,,1213,,,,,,,,,,0.0,,,,263.0,,,"1,498.0",,,58.0,,,,,
6,,3503,,,,,,,,,,0.0,,,,321.0,,,"1,518.0",,,58.0,,,,,
7,,1843,,,,,,,,,,0.0,,,,379.0,,,147.0,,,802.0,,,*,,
8,,1914,,,,,,,,,,147.0,,,,379.0,,,"2,193.0",,,148.0,,,,,
9,,2437,,*,,,,,*,,,147.0,,,,527.0,,,"2,193.0",,,148.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,58.0,,"2,440.0",,,58.0,,,"2,440.0",,,"1,220.0",,,58.0,,,---,,,
2,,"1,518.0",,,,0.0,,"1,518.0",,,58.0,,,"2,440.0",,,58.0,,,"1,518.0",,,|,,,
3,,0.0,,,,116.0,,"2,440.0",,,116.0,,,"2,440.0",,,"1,162.0",,,58.0,,,---,,,
4,,"1,498.0",,,,58.0,,"1,498.0",,,116.0,,,"2,440.0",,,58.0,,,"1,498.0",,,|,,,
5,,0.0,,,,263.0,,"2,440.0",,,263.0,,,"2,440.0",,,"1,104.0",,,147.0,,,---,,,
6,,802.0,,,,116.0,,802.0,,,263.0,,,"2,440.0",,,147.0,,,802.0,,,|,,,
7,,"1,604.0",,,,116.0,,"1,604.0",,,263.0,,,"1,638.0",,,147.0,,,802.0,,,|,,,
8,,0.0,,,,321.0,,"2,440.0",,,321.0,,,"2,440.0",,,957.0,,,58.0,,,---,,,
9,,"1,498.0",,,,263.0,,"1,498.0",,,321.0,,,"2,440.0",,,58.0,,,"1,498.0",,,|,,,
10,,0.0,,,,379.0,,"2,440.0",,,379.0,,,"2,440.0",,,899.0,,,58.0,,,---,,,
11,,"1,518.0",,,,321.0,,"1,518.0",,,379.0,,,"2,440.0",,,58.0,,,"1,518.0",,,|,,,
12,,147.0,,,,379.0,,147.0,,,"1,220.0",,,"2,440.0",,,841.0,,,147.0,,,|,,,
13,,0.0,,,,"1,181.0",,147.0,,,"1,181.0",,,147.0,,,841.0,,,802.0,,,---,,,
14,,"2,340.0",,,,379.0,,"2,340.0",,,"1,220.0",,,"2,293.0",,,841.0,,,"2,193.0",,,|,,,
15,147.0,527.0,"2,340.0",527.0,"2,193.0",841.0,148.0,---
16,147.0,675.0,"2,340.0",675.0,"2,193.0",693.0,148.0,---
,,,,,,,,
"Sum of cuts   (1 x 18,941.0)   18,941.0",,,,,,Count of cuts   (1 x 16)   16,,,
