Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,11330,,,,,,,,,,0.0,,,,0.0,,,833.0,,,425.5,,,,
2,,8723,,*,,,,,*,,,0.0,,,,425.5,,,833.0,,,425.5,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,833.0,,,,0.0,,833.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,833.0,,,|,,
2,,0.0,,,,425.5,,833.0,,,425.5,,,833.0,,,"1,220.0",,,425.5,,,---,,
3,,0.0,,,,851.0,,833.0,,,851.0,,,833.0,,,794.5,,,425.5,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,886.0)   2,886.0",,,,,,,,,,,,,,,Count of cuts   (1 x 3)   3,,,,,,,,,,,
