Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3761,,,,,,,,,,0.0,,,,0.0,,,"1,997.0",,,348.0,,,,,
2,,7386,,,,,,,,,,0.0,,,,348.0,,,"1,938.0",,,493.0,,,,,
3,,7445,,,,,,,,,,0.0,,,,841.0,,,"1,807.0",,,378.0,,,,,
4,,6688,,,,,,,,,,"1,997.0",,,,0.0,,,398.0,,,920.0,,,*,,
5,,3836,,,,,,,,,,"1,997.0",,,,920.0,,,338.0,,,298.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,997.0",,,,0.0,,"1,997.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,997.0",,,|,,,
2,,0.0,,,,348.0,,"1,997.0",,,348.0,,,"1,997.0",,,"1,220.0",,,348.0,,,---,,,
3,,0.0,,,,841.0,,"1,997.0",,,841.0,,,"1,997.0",,,872.0,,,493.0,,,---,,,
4,,"1,938.0",,,,348.0,,"1,938.0",,,841.0,,,"1,997.0",,,493.0,,,"1,938.0",,,|,,,
5,,0.0,,,,"1,219.0",,"1,997.0",,,"1,219.0",,,"1,997.0",,,379.0,,,378.0,,,---,,,
6,,"1,807.0",,,,841.0,,"1,807.0",,,"1,219.0",,,"1,997.0",,,378.0,,,"1,807.0",,,|,,,
7,,"2,395.0",,,,0.0,,"2,395.0",,,"1,220.0",,,443.0,,,"1,220.0",,,398.0,,,|,,,
8,,"1,997.0",,,,920.0,,"2,395.0",,,920.0,,,398.0,,,"1,220.0",,,920.0,,,---,,,
9,,"1,997.0",,,,"1,218.0",,"2,395.0",,,"1,218.0",,,398.0,,,300.0,,,298.0,,,---,,,
10,,"2,335.0",,,,920.0,,"2,335.0",,,"1,218.0",,,398.0,,,298.0,,,338.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,396.0)   10,396.0",,,,,,,,,,,,,,,Count of cuts   (1 x 10)   10,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,5157,,,,,,,,,,0.0,,,,0.0,,,"1,095.0",,,448.0,,,,,
2,,7143,,,,,,,,,,0.0,,,,448.0,,,497.0,,,734.0,,,*,,
3,,4267,,,,,,,,,,497.0,,,,448.0,,,497.0,,,734.0,,,*,,
4,,5531,,,,,,,,,,"1,095.0",,,,0.0,,,758.0,,,348.0,,,,,
5,,6868,,,,,,,,,,"1,095.0",,,,348.0,,,744.0,,,447.0,,,,,
6,,6859,,,,,,,,,,"1,095.0",,,,795.0,,,498.0,,,398.0,,,,,
7,,6975,,,,,,,,,,"1,853.0",,,,0.0,,,498.0,,,"1,198.0",,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,095.0",,,,0.0,,"1,095.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,095.0",,,|,,,
2,,0.0,,,,448.0,,"1,095.0",,,448.0,,,"1,095.0",,,"1,220.0",,,448.0,,,---,,,
3,,0.0,,,,"1,182.0",,"1,095.0",,,"1,182.0",,,"1,095.0",,,772.0,,,734.0,,,---,,,
4,,497.0,,,,448.0,,497.0,,,"1,182.0",,,"1,095.0",,,734.0,,,497.0,,,|,,,
5,,994.0,,,,448.0,,994.0,,,"1,182.0",,,598.0,,,734.0,,,497.0,,,|,,,
6,,"1,853.0",,,,0.0,,"1,853.0",,,"1,220.0",,,"1,345.0",,,"1,220.0",,,758.0,,,|,,,
7,,"1,095.0",,,,348.0,,"1,853.0",,,348.0,,,758.0,,,"1,220.0",,,348.0,,,---,,,
8,,"1,095.0",,,,795.0,,"1,853.0",,,795.0,,,758.0,,,872.0,,,447.0,,,---,,,
9,,"1,839.0",,,,348.0,,"1,839.0",,,795.0,,,758.0,,,447.0,,,744.0,,,|,,,
10,,"1,095.0",,,,"1,193.0",,"1,853.0",,,"1,193.0",,,758.0,,,425.0,,,398.0,,,---,,,
11,,"1,593.0",,,,795.0,,"1,593.0",,,"1,193.0",,,758.0,,,398.0,,,498.0,,,|,,,
12,,"2,351.0",,,,0.0,,"2,351.0",,,"1,220.0",,,587.0,,,"1,220.0",,,498.0,,,|,,,
13,,"1,853.0",,,,"1,198.0",,"2,351.0",,,"1,198.0",,,498.0,,,"1,220.0",,,"1,198.0",,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,935.0)   10,935.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4658,,,,,,,,,,0.0,,,,0.0,,,598.0,,,858.0,,,*,,
2,,5099,,,,,,,,,,598.0,,,,0.0,,,"1,673.0",,,448.0,,,,,
3,,3863,,*,,,,,*,,,0.0,,,,858.0,,,"1,259.0",,,348.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,858.0,,"2,440.0",,,858.0,,,"2,440.0",,,"1,220.0",,,858.0,,,---,,,
2,,598.0,,,,0.0,,598.0,,,858.0,,,"2,440.0",,,858.0,,,598.0,,,|,,,
3,,"2,271.0",,,,0.0,,"2,271.0",,,858.0,,,"1,842.0",,,858.0,,,"1,673.0",,,|,,,
4,,598.0,,,,448.0,,"2,271.0",,,448.0,,,"1,673.0",,,858.0,,,448.0,,,---,,,
5,,0.0,,,,"1,206.0",,"2,440.0",,,"1,206.0",,,"2,440.0",,,362.0,,,348.0,,,---,,,
6,,"1,259.0",,,,858.0,,"1,259.0",,,"1,206.0",,,"2,440.0",,,348.0,,,"1,259.0",,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,617.0)   8,617.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,,
