Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4950,,,,,,,,,,0.0,,,,0.0,,,259.5,,,743.0,,,*,,
2,,5915,,,,,,,,,,259.5,,,,0.0,,,259.5,,,743.0,,,*,,
3,,3854,,,,,,,,,,519.0,,,,0.0,,,148.0,,,568.0,,,*,,
4,,7199,,,,,,,,,,667.0,,,,0.0,,,148.0,,,568.0,,,*,,
5,,4962,,,,,,,,,,815.0,,,,0.0,,,259.5,,,397.0,,,*,,
6,,6025,,*,,,,,*,,,0.0,,,,743.0,,,894.0,,,431.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,074.5",,,,0.0,,"1,074.5",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,074.5",,,|,,,
2,,0.0,,,,743.0,,"1,074.5",,,743.0,,,"1,074.5",,,"1,220.0",,,743.0,,,---,,,
3,,259.5,,,,0.0,,259.5,,,743.0,,,"1,074.5",,,743.0,,,259.5,,,|,,,
4,,519.0,,,,0.0,,519.0,,,743.0,,,815.0,,,743.0,,,259.5,,,|,,,
5,,667.0,,,,0.0,,667.0,,,743.0,,,555.5,,,743.0,,,148.0,,,|,,,
6,,519.0,,,,568.0,,667.0,,,568.0,,,148.0,,,743.0,,,568.0,,,---,,,
7,,815.0,,,,0.0,,815.0,,,743.0,,,407.5,,,743.0,,,148.0,,,|,,,
8,,667.0,,,,568.0,,815.0,,,568.0,,,148.0,,,743.0,,,568.0,,,---,,,
9,,815.0,,,,397.0,,"1,074.5",,,397.0,,,259.5,,,743.0,,,397.0,,,---,,,
10,,0.0,,,,"1,174.0",,"1,074.5",,,"1,174.0",,,"1,074.5",,,477.0,,,431.0,,,---,,,
11,,894.0,,,,743.0,,894.0,,,"1,174.0",,,"1,074.5",,,431.0,,,894.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,327.5)   7,327.5",,,,,,,,,,,,,,,Count of cuts   (1 x 11)   11,,,,,,,,,,,,
