Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,24621,,,,,,,,,,0.0,,,,0.0,,,"2,018.0",,,498.0,,,,,
2,,24393,,,,,,,,,,"2,018.0",,,,0.0,,,378.0,,,348.0,,,,,
3,,22740,,,,,,,,,,0.0,,,,498.0,,,"2,368.0",,,348.0,,,,,
4,,26898,,,,,,,,,,"2,368.0",,,,498.0,,,48.0,,,338.0,,,*,,
5,,24888,,,,,,,,,,0.0,,,,846.0,,,"2,198.0",,,348.0,,,,,
6,,23007,,,,,,,,,,"2,198.0",,,,846.0,,,48.0,,,338.0,,,*,,
7,,23394,,,,,,,,,,"2,246.0",,,,846.0,,,88.0,,,298.0,,,*,,
8,,27156,,,,,,,,,,"2,334.0",,,,846.0,,,88.0,,,298.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,498.0,,"2,440.0",,,498.0,,,"2,440.0",,,"1,220.0",,,498.0,,,---,,,
2,,"2,018.0",,,,0.0,,"2,018.0",,,498.0,,,"2,440.0",,,498.0,,,"2,018.0",,,|,,,
3,,"2,396.0",,,,0.0,,"2,396.0",,,498.0,,,422.0,,,498.0,,,378.0,,,|,,,
4,,"2,018.0",,,,348.0,,"2,396.0",,,348.0,,,378.0,,,498.0,,,348.0,,,---,,,
5,,0.0,,,,846.0,,"2,440.0",,,846.0,,,"2,440.0",,,722.0,,,348.0,,,---,,,
6,,"2,368.0",,,,498.0,,"2,368.0",,,846.0,,,"2,440.0",,,348.0,,,"2,368.0",,,|,,,
7,,"2,416.0",,,,498.0,,"2,416.0",,,846.0,,,72.0,,,348.0,,,48.0,,,|,,,
8,,"2,368.0",,,,836.0,,"2,416.0",,,836.0,,,48.0,,,348.0,,,338.0,,,---,,,
9,,0.0,,,,"1,194.0",,"2,440.0",,,"1,194.0",,,"2,440.0",,,374.0,,,348.0,,,---,,,
10,,"2,198.0",,,,846.0,,"2,198.0",,,"1,194.0",,,"2,440.0",,,348.0,,,"2,198.0",,,|,,,
11,,"2,246.0",,,,846.0,,"2,246.0",,,"1,194.0",,,242.0,,,348.0,,,48.0,,,|,,,
12,,"2,198.0",,,,"1,184.0",,"2,246.0",,,"1,184.0",,,48.0,,,348.0,,,338.0,,,---,,,
13,,"2,334.0",,,,846.0,,"2,334.0",,,"1,194.0",,,194.0,,,348.0,,,88.0,,,|,,,
14,,"2,246.0",,,,"1,144.0",,"2,334.0",,,"1,144.0",,,88.0,,,348.0,,,298.0,,,---,,,
15,,"2,422.0",,,,846.0,,"2,422.0",,,"1,194.0",,,106.0,,,348.0,,,88.0,,,|,,,
16,,"2,334.0",,,,"1,144.0",,"2,422.0",,,"1,144.0",,,88.0,,,348.0,,,298.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,054.0)   11,054.0",,,,,,,,,,,,,,,Count of cuts   (1 x 16)   16,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,26507,,,,,,,,,,0.0,,,,0.0,,,"1,598.0",,,548.0,,,,
2,,26649,,,,,,,,,,0.0,,,,548.0,,,"1,498.0",,,498.0,,,,
3,,25673,,,,,,,,,,"1,598.0",,,,0.0,,,752.0,,,547.0,,,,
4,,25687,,,,,,,,,,"1,598.0",,,,547.0,,,752.0,,,547.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,"1,094.0",,"2,440.0",,,"1,094.0",,,"2,440.0",,,"1,220.0",,,"1,094.0",,,---,,
2,,"1,598.0",,,,0.0,,"1,598.0",,,"1,094.0",,,"2,440.0",,,"1,094.0",,,"1,598.0",,,|,,
3,,0.0,,,,548.0,,"1,598.0",,,548.0,,,"1,598.0",,,"1,094.0",,,548.0,,,---,,
4,,0.0,,,,"1,046.0",,"1,598.0",,,"1,046.0",,,"1,598.0",,,546.0,,,498.0,,,---,,
5,,"1,498.0",,,,548.0,,"1,498.0",,,"1,046.0",,,"1,598.0",,,498.0,,,"1,498.0",,,|,,
6,,"2,350.0",,,,0.0,,"2,350.0",,,"1,094.0",,,842.0,,,"1,094.0",,,752.0,,,|,,
7,,"1,598.0",,,,547.0,,"2,350.0",,,547.0,,,752.0,,,"1,094.0",,,547.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,074.0)   9,074.0",,,,,,,,,,,,,,,Count of cuts   (1 x 7)   7,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,23456,,*,,,,,*,,,0.0,,,,0.0,,,"2,218.0",,,498.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,498.0,,"2,440.0",,,498.0,,,"2,440.0",,,"1,220.0",,,498.0,,,---,,
2,,"2,218.0",,,,0.0,,"2,218.0",,,498.0,,,"2,440.0",,,498.0,,,"2,218.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,938.0)   2,938.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
