Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
1 of 3,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,X-coord,,Y-coord,,Length,,Width,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,25489,,,,,,,0,,0,,657,,439,,,,,,,,,,
2,,25789,,,,,,,0,,439,,657,,439,,,,,,,,,,
3,,26808,,,,,,,0,,878,,656,,92.5,,,,,,,,,,
4,,23765,,,,,,,0,,970.5,,158,,238,,*,,,,,,,,
5,,25930,,,,,,,158,,970.5,,158,,238,,*,,,,,,,,
6,,23873,,,,,,,316,,970.5,,158,,238,,*,,,,,,,,
7,,24108,,,,,,,474,,970.5,,158,,238,,*,,,,,,,,
8,,25037,,,,,,,657,,0,,78,,438,,*,,,,,,,,
9,,24859,,,,,,,657,,438,,78,,388,,*,,,,,,,,
10,,25761,,,,,,,657,,826,,78,,388,,*,,,,,,,,
11,,25057,,,,,,,735,,0,,78,,438,,*,,,,,,,,
12,,25038,,,,,,,735,,438,,78,,388,,*,,,,,,,,
13,,23355,,,,,,,735,,826,,78,,388,,*,,,,,,,,
14,,27384,,,,,,,813,,0,,489,,765,,*,,,,,,,,
15,,23132,,,,,,,813,,765,,488,,118,,,,,,,,,,
16,,27033,,,,,,,813,,883,,488,,118,,,,,,,,,,
17,,26167,,,,,,,813,,"1,001.00",,488,,78,,,,,,,,,,
18,,23326,,,,,,,813,,"1,079.00",,488,,78,,,,,,,,,,
19,,22716,,,,,,,813,,"1,157.00",,470,,52.5,,,,,,,,,,
20,,24021,,,,,,,"1,302.00",,0,,52.5,,375.5,,*,,,,,,,,
21,,25176,,,,,,,"1,302.00",,375.5,,52.5,,418.5,,*,,,,,,,,
22,,23838,,,,,,,"1,302.00",,794,,52.5,,418.5,,*,,,,,,,,
23,,26866,,,,,,,"1,354.50",,0,,439,,462,,*,,,,,,,,
24,,25269,,,,,,,"1,354.50",,462,,438,,78,,,,,,,,,,
25,,26824,,,,,,,"1,354.50",,540,,438,,118,,,,,,,,,,
26,,24228,,,,,,,"1,354.50",,658,,438,,118,,,,,,,,,,
27,,24189,,,,,,,"1,354.50",,,776,,118,,438,,*,,,,,,,
28,,23457,,,,,,,"1,472.50",,,776,,78,,438,,*,,,,,,,
29,,23750,,,,,,,"1,550.50",,,776,,78,,438,,*,,,,,,,
30,,22778,,,,,,,"1,628.50",,,776,,78,,438,,*,,,,,,,
31,,24440,,,,,,,"1,706.50",,,776,,78,,438,,*,,,,,,,
32,,25081,,,,,,,"1,793.50",,,0,,489,,765,,*,,,,,,,
33,,26788,,,,,,,"1,793.50",,,765,,471,,439,,,,,,,,,
34,,22823,,,,,,,"2,282.50",,,0,,92.5,,764,,*,,,,,,,
35,,26321,,,,,,,"2,282.50",,,764,,78,,438,,*,,,,,,,
36,,23193,,,,,,,"2,375.00",,,0,,52.5,,427.5,,*,,,,,,,
37,,22651,,,,,,,"2,375.00",,,427.5,,52.5,,365,,*,,,,,,,
38,,23072,,,,,,,"2,375.00",,,792.5,,52.5,,427.5,,*,,,,,,,
Cuts - absolute coordinates,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,
#,,X1,,Y1,X2,,,Y2,,Length,,Width,,Cut,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,657,,,0,657,,,"1,220.00",,"2,440.00",,"1,220.00",,657,,|,,,,,,,,,
2,0,,,439,657,,,439,,657,,"1,220.00",,439,,---,,,,,,,,,
3,0,,,878,657,,,878,,657,,781,,439,,---,,,,,,,,,
4,0,,,970.5,657,,,970.5,,657,,342,,92.5,,---,,,,,,,,,
5,656,,,878,656,,,970.5,,657,,92.5,,656,,|,,,,,,,,,
6,0,,,"1,208.50",657,,,"1,208.50",,657,,249.5,,238,,---,,,,,,,,,
7,158,,,970.5,158,,,"1,208.50",,657,,238,,158,,|,,,,,,,,,
8,316,,,970.5,316,,,"1,208.50",,499,,238,,158,,|,,,,,,,,,
9,474,,,970.5,474,,,"1,208.50",,341,,238,,158,,|,,,,,,,,,
10,632,,,970.5,632,,,"1,208.50",,183,,238,,158,,|,,,,,,,,,
11,735,,,0,735,,,"1,220.00",,"1,783.00",,"1,220.00",,78,,|,,,,,,,,,
12,657,,,438,735,,,438,,78,,"1,220.00",,438,,---,,,,,,,,,
13,657,,,826,735,,,826,,78,,782,,388,,---,,,,,,,,,
14,657,,,"1,214.00",735,,,"1,214.00",,78,,394,,388,,---,,,,,,,,,
15,813,,,0,813,,,"1,220.00",,"1,705.00",,"1,220.00",,78,,|,,,,,,,,,
16,735,,,438,813,,,438,,78,,"1,220.00",,438,,---,,,,,,,,,
17,735,,,826,813,,,826,,78,,782,,388,,---,,,,,,,,,
18,735,,,"1,214.00",813,,,"1,214.00",,78,,394,,388,,---,,,,,,,,,
19,"1,302.00",,,0,"1,302.00",,,"1,220.00",,"1,627.00",,"1,220.00",,489,,|,,,,,,,,,
20,813,,,765,"1,302.00",,,765,,489,,"1,220.00",,765,,---,,,,,,,,,
21,813,,,883,"1,302.00",,,883,,489,,455,,118,,---,,,,,,,,,
22,"1,301.00",,,765,"1,301.00",,,883,,489,,118,,488,,|,,,,,,,,,
23,813,,,"1,001.00","1,302.00",,,"1,001.00",,489,,337,,118,,---,,,,,,,,,
24,"1,301.00",,,883,"1,301.00",,,"1,001.00",,489,,118,,488,,|,,,,,,,,,
25,813,,,"1,079.00","1,302.00",,,"1,079.00",,489,,219,,78,,---,,,,,,,,,
26,"1,301.00",,,"1,001.00","1,301.00",,,"1,079.00",,489,,78,,488,,|,,,,,,,,,
27,813,,,"1,157.00","1,302.00",,,"1,157.00",,489,,141,,78,,---,,,,,,,,,
28,"1,301.00",,,"1,079.00","1,301.00",,,"1,157.00",,489,,78,,488,,|,,,,,,,,,
29,813,,,"1,209.50","1,302.00",,,"1,209.50",,489,,63,,52.5,,---,,,,,,,,,
30,"1,283.00",,,"1,157.00","1,283.00",,,"1,209.50",,489,,52.5,,470,,|,,,,,,,,,
31,"1,354.50",,,0,"1,354.50",,,"1,220.00",,"1,138.00",,"1,220.00",,52.5,,|,,,,,,,,,
32,"1,302.00",,,375.5,"1,354.50",,,375.5,,52.5,,"1,220.00",,375.5,,---,,,,,,,,,
33,"1,302.00",,,794,"1,354.50",,,794,,52.5,,844.5,,418.5,,---,,,,,,,,,
34,"1,302.00",,,"1,212.50","1,354.50",,,"1,212.50",,52.5,,426,,418.5,,---,,,,,,,,,
35,"1,793.50",,,0,"1,793.50",,,"1,220.00",,"1,085.50",,"1,220.00",,439,,|,,,,,,,,,
36,"1,354.50",,,462,"1,793.50",,,462,,439,,"1,220.00",,462,,---,,,,,,,,,
37,"1,354.50",,,540,"1,793.50",,,540,,439,,758,,78,,---,,,,,,,,,
38,"1,792.50",,,462,"1,792.50",,,540,,439,,78,,438,,|,,,,,,,,,
39,"1,354.50",,,658,"1,793.50",,,658,,439,,680,,118,,---,,,,,,,,,
40,"1,792.50",540,"1,792.50",658,439,118,438,|,,,,,,,,,,,,,,,,,
41,"1,354.50",776,"1,793.50",776,439,562,118,---,,,,,,,,,,,,,,,,,
42,"1,792.50",658,"1,792.50",776,439,118,438,|,,,,,,,,,,,,,,,,,
43,"1,354.50","1,214.00","1,793.50","1,214.00",439,444,438,---,,,,,,,,,,,,,,,,,
44,"1,472.50",776,"1,472.50","1,214.00",439,438,118,|,,,,,,,,,,,,,,,,,
45,"1,550.50",776,"1,550.50","1,214.00",321,438,78,|,,,,,,,,,,,,,,,,,
46,"1,628.50",776,"1,628.50","1,214.00",243,438,78,|,,,,,,,,,,,,,,,,,
47,"1,706.50",776,"1,706.50","1,214.00",165,438,78,|,,,,,,,,,,,,,,,,,
48,"1,784.50",776,"1,784.50","1,214.00",87,438,78,|,,,,,,,,,,,,,,,,,
49,"2,282.50",0,"2,282.50","1,220.00",646.5,"1,220.00",489,|,,,,,,,,,,,,,,,,,
50,"1,793.50",765,"2,282.50",765,489,"1,220.00",765,---,,,,,,,,,,,,,,,,,
51,"1,793.50","1,204.00","2,282.50","1,204.00",489,455,439,---,,,,,,,,,,,,,,,,,
52,"2,264.50",765,"2,264.50","1,204.00",489,439,471,|,,,,,,,,,,,,,,,,,
53,"2,375.00",0,"2,375.00","1,220.00",157.5,"1,220.00",92.5,|,,,,,,,,,,,,,,,,,
54,"2,282.50",764,"2,375.00",764,92.5,"1,220.00",764,---,,,,,,,,,,,,,,,,,
55,"2,282.50","1,202.00","2,375.00","1,202.00",92.5,456,438,---,,,,,,,,,,,,,,,,,
56,"2,360.50",764,"2,360.50","1,202.00",92.5,438,78,|,,,,,,,,,,,,,,,,,
57,"2,427.50",0,"2,427.50","1,220.00",65,"1,220.00",52.5,|,,,,,,,,,,,,,,,,,
58,"2,375.00",427.5,"2,427.50",427.5,52.5,"1,220.00",427.5,---,,,,,,,,,,,,,,,,,
59,"2,375.00",792.5,"2,427.50",792.5,52.5,792.5,365,---,,,,,,,,,,,,,,,,,
