Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,27645,,,,,,,,,,0.0,,,,0.0,,,"2,438.0",,,38.0,,,,,
2,,6760,,,,,,,,,,0.0,,,,38.0,,,298.0,,,298.0,,,,,
3,,29759,,,,,,,,,,0.0,,,,336.0,,,58.0,,,818.0,,,*,,
4,,30206,,,,,,,,,,58.0,,,,336.0,,,58.0,,,798.0,,,*,,
5,,5645,,,,,,,,,,116.0,,,,336.0,,,298.0,,,662.0,,,*,,
6,,4582,,*,,,,,*,,,414.0,,,,336.0,,,298.0,,,662.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,38.0,,"2,440.0",,,38.0,,,"2,440.0",,,"1,220.0",,,38.0,,,---,,,
2,,"2,438.0",,,,0.0,,"2,438.0",,,38.0,,,"2,440.0",,,38.0,,,"2,438.0",,,|,,,
3,,0.0,,,,336.0,,"2,440.0",,,336.0,,,"2,440.0",,,"1,182.0",,,298.0,,,---,,,
4,,298.0,,,,38.0,,298.0,,,336.0,,,"2,440.0",,,298.0,,,298.0,,,|,,,
5,,58.0,,,,336.0,,58.0,,,"1,220.0",,,"2,440.0",,,884.0,,,58.0,,,|,,,
6,,0.0,,,,"1,154.0",,58.0,,,"1,154.0",,,58.0,,,884.0,,,818.0,,,---,,,
7,,116.0,,,,336.0,,116.0,,,"1,220.0",,,"2,382.0",,,884.0,,,58.0,,,|,,,
8,,58.0,,,,"1,134.0",,116.0,,,"1,134.0",,,58.0,,,884.0,,,798.0,,,---,,,
9,,414.0,,,,336.0,,414.0,,,"1,220.0",,,"2,324.0",,,884.0,,,298.0,,,|,,,
10,,116.0,,,,998.0,,414.0,,,998.0,,,298.0,,,884.0,,,662.0,,,---,,,
11,,712.0,,,,336.0,,712.0,,,"1,220.0",,,"2,026.0",,,884.0,,,298.0,,,|,,,
12,,414.0,,,,998.0,,712.0,,,998.0,,,298.0,,,884.0,,,662.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,464.0)   9,464.0",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,,,
