Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,624,,,,,,,,,,0.0,,,,0.0,,,"1,892.0",,,247.0,,,,,
2,,1365,,,,,,,,,,0.0,,,,247.0,,,"1,892.0",,,247.0,,,,,
3,,2089,,,,,,,,,,0.0,,,,494.0,,,936.0,,,231.0,,,*,,
4,,3243,,,,,,,,,,936.0,,,,494.0,,,936.0,,,231.0,,,*,,
5,,460,,,,,,,,,,"1,892.0",,,,0.0,,,268.0,,,248.0,,,,,
6,,2088,,,,,,,,,,"1,892.0",,,,248.0,,,268.0,,,248.0,,,,,
7,,688,,,,,,,,,,"2,160.0",,,,0.0,,,231.0,,,227.5,,,,,
8,,536,,,,,,,,,,"2,160.0",,,,227.5,,,231.0,,,247.0,,,,,
9,,59,,*,,,,,*,,,"2,160.0",,,,474.5,,,231.0,,,227.5,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,725.0,,"2,440.0",,,725.0,,,"2,440.0",,,"1,220.0",,,725.0,,,---,,,
2,,"1,892.0",,,,0.0,,"1,892.0",,,725.0,,,"2,440.0",,,725.0,,,"1,892.0",,,|,,,
3,,0.0,,,,247.0,,"1,892.0",,,247.0,,,"1,892.0",,,725.0,,,247.0,,,---,,,
4,,0.0,,,,494.0,,"1,892.0",,,494.0,,,"1,892.0",,,478.0,,,247.0,,,---,,,
5,,936.0,,,,494.0,,936.0,,,725.0,,,"1,892.0",,,231.0,,,936.0,,,|,,,
6,,"1,872.0",,,,494.0,,"1,872.0",,,725.0,,,956.0,,,231.0,,,936.0,,,|,,,
7,,"2,160.0",,,,0.0,,"2,160.0",,,725.0,,,548.0,,,725.0,,,268.0,,,|,,,
8,,"1,892.0",,,,248.0,,"2,160.0",,,248.0,,,268.0,,,725.0,,,248.0,,,---,,,
9,,"1,892.0",,,,496.0,,"2,160.0",,,496.0,,,268.0,,,477.0,,,248.0,,,---,,,
10,,"2,391.0",,,,0.0,,"2,391.0",,,725.0,,,280.0,,,725.0,,,231.0,,,|,,,
11,,"2,160.0",,,,227.5,,"2,391.0",,,227.5,,,231.0,,,725.0,,,227.5,,,---,,,
12,,"2,160.0",,,,474.5,,"2,391.0",,,474.5,,,231.0,,,497.5,,,247.0,,,---,,,
13,,"2,160.0",,,,702.0,,"2,391.0",,,702.0,,,231.0,,,250.5,,,227.5,,,---,,,
,
"Sum of cuts   (1 x 10,090.0)   10,090.0",,Count of cuts   (1 x 13)   13
