Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,36725,,,,,,,,,,0.0,,,,0.0,,,326.0,,,575.0,,,,,
2,,34420,,,,,,,,,,326.0,,,,0.0,,,445.3,,,574.5,,,*,,
3,,36756,,,,,,,,,,771.3,,,,0.0,,,445.0,,,574.5,,,*,,
4,,34028,,,,,,,,,,"1,216.3",,,,0.0,,,395.0,,,574.0,,,,,
5,,34504,,,,,,,,,,"1,611.3",,,,0.0,,,395.0,,,574.0,,,,,
6,,33397,,,,,,,,,,"2,006.3",,,,0.0,,,390.3,,,554.5,,,*,,
7,,36767,,,,,,,,,,0.0,,,,575.0,,,326.0,,,575.0,,,,,
8,,37306,,,,,,,,,,326.0,,,,575.0,,,"2,085.5",,,445.3,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,575.0,,"2,440.0",,,575.0,,,"2,440.0",,,"1,220.0",,,575.0,,,---,,,
2,,326.0,,,,0.0,,326.0,,,575.0,,,"2,440.0",,,575.0,,,326.0,,,|,,,
3,,771.3,,,,0.0,,771.3,,,575.0,,,"2,114.0",,,575.0,,,445.3,,,|,,,
4,,326.0,,,,574.5,,771.3,,,574.5,,,445.3,,,575.0,,,574.5,,,---,,,
5,,"1,216.3",,,,0.0,,"1,216.3",,,575.0,,,"1,668.7",,,575.0,,,445.0,,,|,,,
6,,771.3,,,,574.5,,"1,216.3",,,574.5,,,445.0,,,575.0,,,574.5,,,---,,,
7,,"1,611.3",,,,0.0,,"1,611.3",,,575.0,,,"1,223.7",,,575.0,,,395.0,,,|,,,
8,,"1,216.3",,,,574.0,,"1,611.3",,,574.0,,,395.0,,,575.0,,,574.0,,,---,,,
9,,"2,006.3",,,,0.0,,"2,006.3",,,575.0,,,828.7,,,575.0,,,395.0,,,|,,,
10,,"1,611.3",,,,574.0,,"2,006.3",,,574.0,,,395.0,,,575.0,,,574.0,,,---,,,
11,,"2,396.6",,,,0.0,,"2,396.6",,,575.0,,,433.7,,,575.0,,,390.3,,,|,,,
12,,"2,006.3",,,,554.5,,"2,396.6",,,554.5,,,390.3,,,575.0,,,554.5,,,---,,,
13,,326.0,,,,575.0,,326.0,,,"1,220.0",,,"2,440.0",,,645.0,,,326.0,,,|,,,
14,,0.0,,,,"1,150.0",,326.0,,,"1,150.0",,,326.0,,,645.0,,,575.0,,,---,,,
15,,"2,411.5",,,,575.0,,"2,411.5",,,"1,220.0",,,"2,114.0",,,645.0,,,"2,085.5",,,|,,,
16,,326.0,,,,"1,020.3",,"2,411.5",,,"1,020.3",,,"2,085.5",,,645.0,,,445.3,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,662.1)   11,662.1",,,,,,,,,,,,,,,Count of cuts   (1 x 16)   16,,,,,,,,,,,

Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,34674,,,,,,,,,,0.0,,,,0.0,,,"2,085.5",,,445.0,,,,
2,,33448,,,,,,,,,,"2,085.5",,,,0.0,,,289.0,,,395.0,,,,
3,,33789,,*,,,,,*,,,0.0,,,,445.0,,,"2,135.5",,,390.2,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,445.0,,"2,440.0",,,445.0,,,"2,440.0",,,"1,220.0",,,445.0,,,---,,
2,,"2,085.5",,,,0.0,,"2,085.5",,,445.0,,,"2,440.0",,,445.0,,,"2,085.5",,,|,,
3,,"2,374.5",,,,0.0,,"2,374.5",,,445.0,,,354.5,,,445.0,,,289.0,,,|,,
4,,"2,085.5",,,,395.0,,"2,374.5",,,395.0,,,289.0,,,445.0,,,395.0,,,---,,
5,,0.0,,,,835.2,,"2,440.0",,,835.2,,,"2,440.0",,,775.0,,,390.2,,,---,,
6,,"2,135.5",,,,445.0,,"2,135.5",,,835.2,,,"2,440.0",,,390.2,,,"2,135.5",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 6,449.2)   6,449.2",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,
