Layout,,,Stock #,,,Description,,,,,,,,,Remnants,,,Length,,,Width,,Repeat,,
1 of 1,,,1,,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,,Order #,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,35069,,,,,,,,,,0,,,,0,,,414,,,339,,,
2,,33279,,,,,,,,,,0,,,,339,,,413,,,92.5,,,
3,,34948,,,,,,,,,,0,,,,431.5,,,393,,,489,,,
4,,34029,,,,,,,,,,0,,,,920.5,,,338,,,118,,,
5,,32984,,,,,,,,,,0,,,,"1,038.50",,,338,,,78,,,
6,,34794,,,,,,,,,,414,,,,0,,,791,,,439,,,
7,,33705,,,,,,,,,,414,,,,439,,,526.7,,,52.5,,,
8,,33394,,,,,,,,,,414,,,,491.5,,,292,,,489,,,
9,,35456,,,,,,,,,,"1,205.00",,,,0,,,527.8,,,339,,,
10,,34917,,,,,,,,,,"1,205.00",,,,339,,,527.7,,,339,,,
11,,34945,,,,,,,,,,"1,205.00",,,,678,,,526.8,,,52.5,,,
12,,35874,,,,,,,,,,"1,205.00",,,,730.5,,,488,,,118,,,
13,,37207,,,,,,,,,,"1,205.00",,,,848.5,,,289,,,368.5,,*,
14,,35285,,,,,,,,,,"1,732.80",,,,0,,,368.5,,,289,,,
15,,34616,,,,,,,,,,"1,732.80",,,,289,,,367.5,,,52.5,,,
16,,37453,,,,,,,,,,"1,732.80",,,,341.5,,,338,,,78,,,
17,,33412,,,,,,,,,,"1,732.80",,,,419.5,,,288,,,78,,,
18,,34197,,,,,,,,,,"1,732.80",,,,497.5,,,118,,,488,,*,
19,,33785,,,,,,,,,,"1,850.80",,,,497.5,,,118,,,488,,*,
20,,37080,,,,,,,,,,"1,968.80",,,,497.5,,,118,,,488,,*,
21,,33766,,,,,,,,,,"1,732.80",,,,985.5,,,338,,,118,,,
22,,32805,,,,,,,,,,"1,732.80",,,,"1,103.50",,,338,,,78,,,
23,,33613,,,,,,,,,,"2,101.30",,,,0,,,92.5,,,392,,*,
24,,36872,,,,,,,,,,"2,101.30",,,,392,,,92.5,,,291,,*,
25,,34462,,,,,,,,,,"2,101.30",,,,683,,,52.5,,,367.5,,*,
26,,34567,,,,,,,,,,"2,193.80",,,,0,,,78,,,288,,*,
27,,36183,,,,,,,,,,"2,193.80",,,,288,,,78,,,438,,,*
28,,36152,,,,,,,,,,"2,193.80",,,,726,,,78,,,288,,,*
29,,33338,,,,,,,,,,"2,271.80",,,,0,,,52.5,,,790,,,*
30,,34360,,,,,,,,,,"2,324.30",,,,0,,,78,,,288,,,*
31,,33003,,,,,,,,,,"2,324.30",,,,288,,,78,,,438,,,*
32,,34883,,,,*,,,,,,"2,324.30",,,,726,,,78,,,338,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,
#,,X1,,Y1,X2,,,,,,Y2,,,,Length,,,Width,,,Cut,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,414,,,0,414,,,,,,"1,220.00",,,,"2,440.00",,,"1,220.00",,,414,,|,,
2,0,,,339,414,,,,,,339,,,,414,,,"1,220.00",,,339,,---,,
3,0,,,431.5,414,,,,,,431.5,,,,414,,,881,,,92.5,,---,,
4,413,,,339,413,,,,,,431.5,,,,414,,,92.5,,,413,,|,,
5,0,,,920.5,414,,,,,,920.5,,,,414,,,788.5,,,489,,---,,
6,393,,,431.5,393,,,,,,920.5,,,,414,,,489,,,393,,|,,
7,0,,,"1,038.50",414,,,,,,"1,038.50",,,,414,,,299.5,,,118,,---,,
8,338,,,920.5,338,,,,,,"1,038.50",,,,414,,,118,,,338,,|,,
9,0,,,"1,116.50",414,,,,,,"1,116.50",,,,414,,,181.5,,,78,,---,,
10,338,,,"1,038.50",338,,,,,,"1,116.50",,,,414,,,78,,,338,,|,,
11,"1,205.00",,,0,"1,205.00",,,,,,"1,220.00",,,,"2,026.00",,,"1,220.00",,,791,,|,,
12,414,,,439,"1,205.00",,,,,,439,,,,791,,,"1,220.00",,,439,,---,,
13,414,,,491.5,"1,205.00",,,,,,491.5,,,,791,,,781,,,52.5,,---,,
14,940.7,,,439,940.7,,,,,,491.5,,,,791,,,52.5,,,526.7,,|,,
15,414,,,980.5,"1,205.00",,,,,,980.5,,,,791,,,728.5,,,489,,---,,
16,706,,,491.5,706,,,,,,980.5,,,,791,,,489,,,292,,|,,
17,"1,732.80",,,0,"1,732.80",,,,,,"1,220.00",,,,"1,235.00",,,"1,220.00",,,527.8,,|,,
18,"1,205.00",,,339,"1,732.80",,,,,,339,,,,527.8,,,"1,220.00",,,339,,---,,
19,"1,205.00",,,678,"1,732.80",,,,,,678,,,,527.8,,,881,,,339,,---,,
20,"1,732.70",,,339,"1,732.70",,,,,,678,,,,527.8,,,339,,,527.7,,|,,
21,"1,205.00",,,730.5,"1,732.80",,,,,,730.5,,,,527.8,,,542,,,52.5,,---,,
22,"1,731.80",,,678,"1,731.80",,,,,,730.5,,,,527.8,,,52.5,,,526.8,,|,,
23,"1,205.00",,,848.5,"1,732.80",,,,,,848.5,,,,527.8,,,489.5,,,118,,---,,
24,"1,693.00",,,730.5,"1,693.00",,,,,,848.5,,,,527.8,,,118,,,488,,|,,
25,"1,205.00",,,"1,217.00","1,732.80",,,,,,"1,217.00",,,,527.8,,,371.5,,,368.5,,---,,
26,"1,494.00",,,848.5,"1,494.00",,,,,,"1,217.00",,,,527.8,,,368.5,,,289,,|,,
27,"2,101.30",,,0,"2,101.30",,,,,,"1,220.00",,,,707.2,,,"1,220.00",,,368.5,,|,,
28,"1,732.80",,,289,"2,101.30",,,,,,289,,,,368.5,,,"1,220.00",,,289,,---,,
29,"1,732.80",,,341.5,"2,101.30",,,,,,341.5,,,,368.5,,,931,,,52.5,,---,,
30,"2,100.30",,,289,"2,100.30",,,,,,341.5,,,,368.5,,,52.5,,,367.5,,|,,
31,"1,732.80",,,419.5,"2,101.30",,,,,,419.5,,,,368.5,,,878.5,,,78,,---,,
32,"2,070.80",,,341.5,"2,070.80",,,,,,419.5,,,,368.5,,,78,,,338,,|,,
33,"1,732.80",,,497.5,"2,101.30",,,,,,497.5,,,,368.5,,,800.5,,,78,,---,,
34,"2,020.80",,,419.5,"2,020.80",,,,,,497.5,,,,368.5,,,78,,,288,,|,,
35,"1,732.80",,,985.5,"2,101.30",,,,,,985.5,,,,368.5,,,722.5,,,488,,---,,
36,"1,850.80",,,497.5,"1,850.80",,,,,,985.5,,,,368.5,,,488,,,118,,|,,
37,"1,968.80",,,497.5,"1,968.80",,,,,,985.5,,,,250.5,,,488,,,118,,|,,
38,"2,086.80",,,497.5,"2,086.80",,,,,,985.5,,,,132.5,,,488,,,118,,|,,
39,"1,732.80",,,"1,103.50","2,101.30",,,,,,"1,103.50",,,,368.5,,,234.5,,,118,,---,,
40,"2,070.80",,,985.5,"2,070.80",,,,,,"1,103.50",,,,368.5,,,118,,,338,,|,,
41,"1,732.80",,,"1,181.50","2,101.30",,,,,,"1,181.50",,,,368.5,,,116.5,,,78,,---,,
42,"2,070.80",,,"1,103.50","2,070.80",,,,,,"1,181.50",,,,368.5,,,78,,,338,,|,,
43,"2,193.80",,,0,"2,193.80",,,,,,"1,220.00",,,,338.7,,,"1,220.00",,,92.5,,|,,
44,"2,101.30",,,392,"2,193.80",,,,,,392,,,,92.5,,,"1,220.00",,,392,,---,,
45,"2,101.30",,,683,"2,193.80",,,,,,683,,,,92.5,,,828,,,291,,---,,
46,"2,101.30","1,050.50","2,193.80","1,050.50",92.5,537,,,,367.5,---,,,,,,,,,,,,,,
47,"2,153.80",683,"2,153.80","1,050.50",92.5,367.5,,,,52.5,|,,,,,,,,,,,,,,
48,"2,271.80",0,"2,271.80","1,220.00",246.2,"1,220.00",,,,78,|,,,,,,,,,,,,,,
49,"2,193.80",288,"2,271.80",288,78,"1,220.00",,,,288,---,,,,,,,,,,,,,,
50,"2,193.80",726,"2,271.80",726,78,932,,,,438,---,,,,,,,,,,,,,,
51,"2,193.80","1,014.00","2,271.80","1,014.00",78,494,,,,288,---,,,,,,,,,,,,,,
52,"2,324.30",0,"2,324.30","1,220.00",168.2,"1,220.00",,,,52.5,|,,,,,,,,,,,,,,
53,"2,271.80",790,"2,324.30",790,52.5,"1,220.00",,,,790,---,,,,,,,,,,,,,,
54,"2,402.30",0,"2,402.30","1,220.00",115.7,"1,220.00",,,,78,|,,,,,,,,,,,,,,
55,"2,324.30",288,"2,402.30",288,78,"1,220.00",,,,288,---,,,,,,,,,,,,,,
56,"2,324.30",726,"2,402.30",726,78,932,,,,438,---,,,,,,,,,,,,,,
57,"2,324.30","1,064.00","2,402.30","1,064.00",78,494,,,,338,---,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 24,652.5)   24,652.5",,,,,,Count of cuts   (1 x 57)   57,,,,,,,,,,,,,,,,,,,
