Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3779,,,,,,,,,,0.0,,,,0.0,,,"2,301.0",,,307.0,,,,,
2,,4988,,,,,,,,,,0.0,,,,307.0,,,"1,281.5",,,828.0,,,,,
3,,6981,,,,,,,,,,"1,281.5",,,,307.0,,,"1,112.0",,,398.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,307.0,,"2,440.0",,,307.0,,,"2,440.0",,,"1,220.0",,,307.0,,,---,,,
2,,"2,301.0",,,,0.0,,"2,301.0",,,307.0,,,"2,440.0",,,307.0,,,"2,301.0",,,|,,,
3,,0.0,,,,"1,135.0",,"2,440.0",,,"1,135.0",,,"2,440.0",,,913.0,,,828.0,,,---,,,
4,,"1,281.5",,,,307.0,,"1,281.5",,,"1,135.0",,,"2,440.0",,,828.0,,,"1,281.5",,,|,,,
5,,"2,393.5",,,,307.0,,"2,393.5",,,"1,135.0",,,"1,158.5",,,828.0,,,"1,112.0",,,|,,,
6,,"1,281.5",,,,705.0,,"2,393.5",,,705.0,,,"1,112.0",,,828.0,,,398.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 7,955.0)   7,955.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 2,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4797,,*,,,,,*,,,0.0,,,,0.0,,,398.0,,,976.6,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,398.0,,,,0.0,,398.0,,,"1,220.0",,,"2,440.0",,,"1,220.0",,,398.0,,,|,,
2,,0.0,,,,976.6,,398.0,,,976.6,,,398.0,,,"1,220.0",,,976.6,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 1,618.0)   1,618.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
