Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31412,,,,,,,,,,0.0,,,,808.0,,,"1,229.0",,,377.0,,,,,
2,,27864,,,,,,,,,,0.0,,,,0.0,,,774.0,,,808.0,,,*,,
3,,30904,,,,,,,,,,774.0,,,,0.0,,,"1,643.0",,,774.0,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,808.0,,"2,440.0",,,808.0,,,"2,440.0",,,"1,220.0",,,808.0,,,---,,,
2,,0.0,,,,"1,185.0",,"2,440.0",,,"1,185.0",,,"2,440.0",,,412.0,,,377.0,,,---,,,
3,,"1,229.0",,,,808.0,,"1,229.0",,,"1,185.0",,,"2,440.0",,,377.0,,,"1,229.0",,,|,,,
4,,774.0,,,,0.0,,774.0,,,808.0,,,"2,440.0",,,808.0,,,774.0,,,|,,,
5,,"2,417.0",,,,0.0,,"2,417.0",,,808.0,,,"1,666.0",,,808.0,,,"1,643.0",,,|,,,
6,,774.0,,,,774.0,,"2,417.0",,,774.0,,,"1,643.0",,,808.0,,,774.0,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 8,516.0)   8,516.0",,,,,,,,,,,,,,,Count of cuts   (1 x 6)   6,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,28468,,,,,,,,,,0.0,,,,0.0,,,"2,281.0",,,862.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,862.0,,"2,440.0",,,862.0,,,"2,440.0",,,"1,220.0",,,862.0,,,---,,
2,,"2,281.0",,,,0.0,,"2,281.0",,,862.0,,,"2,440.0",,,862.0,,,"2,281.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 3,302.0)   3,302.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 3,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31609,,*,,,,,*,,,0.0,,,,0.0,,,"1,222.0",,,377.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks LIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,222.0",,,,0.0,,"1,222.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,222.0",,,|,,
2,,0.0,,,,377.0,,"1,222.0",,,377.0,,,"1,222.0",,,"1,220.0",,,377.0,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 2,442.0)   2,442.0",,,,,,,,,,,,,,,Count of cuts   (1 x 2)   2,,,,,,,,,,,
