Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,
1 of 4,,,1,,,,,,,,,,,,,,"2,440.00",,,"1,220.00",,,1x,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,29118,,,,,,,,,,0,,,,0,,,626,,,439,,,
2,,30922,,,,,,,,,,0,,,,439,,,626,,,439,,,
3,,30426,,,,,,,,,,0,,,,878,,,304,,,339,,,
4,,29789,,,,,,,,,,304,,,,878,,,304,,,339,,,
5,,31452,,,,,,,,,,626,,,,0,,,118,,,338,,,*
6,,30926,,,,,,,,,,626,,,,338,,,118,,,338,,,*
7,,28389,,,,,,,,,,626,,,,676,,,118,,,238,,,*
8,,32448,,,,,,,,,,626,,,,914,,,118,,,238,,,*
9,,32265,,,,,,,,,,744,,,,0,,,765.5,,,489,,,
10,,28272,,,,,,,,,,744,,,,489,,,765.5,,,489,,,
11,,30746,,,,,,,,,,744,,,,978,,,764.5,,,172.5,,,
12,,32389,,,,,,,,,,744,,,,"1,150.50",,,707,,,52.5,,,
13,,29445,,,,,,,,,,"1,509.50",,,,0,,,665,,,439,,,
14,,31718,,,,,,,,,,"1,509.50",,,,439,,,665,,,439,,,
15,,28470,,,,,,,,,,"1,509.50",,,,878,,,355,,,339,,,
16,,31885,,,,,,,,,,"1,864.50",,,,878,,,304,,,339,,,
17,,29571,,,,,,,,,,"2,174.50",,,,0,,,212.5,,,664,,,*
18,,31665,,,,,,,,,,"2,174.50",,,,664,,,198,,,488,,,*
19,,29552,,,,,,,,,,"2,387.00",,,,0,,,52.5,,,764,,,*
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,626,,,,0,,626,,,"1,220.00",,,"2,440.00",,,"1,220.00",,,626,,,|,,
2,,0,,,,439,,626,,,439,,,626,,,"1,220.00",,,439,,,---,,
3,,0,,,,878,,626,,,878,,,626,,,781,,,439,,,---,,
4,,0,,,,"1,217.00",,626,,,"1,217.00",,,626,,,342,,,339,,,---,,
5,304,878,304,"1,217.00",626,339,304,|,,,,,,,,,,,,,,,,,
6,608,878,608,"1,217.00",322,339,304,|,,,,,,,,,,,,,,,,,
7,744,0,744,"1,220.00","1,814.00","1,220.00",118,|,,,,,,,,,,,,,,,,,
8,626,338,744,338,118,"1,220.00",338,---,,,,,,,,,,,,,,,,,
9,626,676,744,676,118,882,338,---,,,,,,,,,,,,,,,,,
10,626,914,744,914,118,544,238,---,,,,,,,,,,,,,,,,,
11,626,"1,152.00",744,"1,152.00",118,306,238,---,,,,,,,,,,,,,,,,,
12,"1,509.50",0,"1,509.50","1,220.00","1,696.00","1,220.00",765.5,|,,,,,,,,,,,,,,,,,
13,744,489,"1,509.50",489,765.5,"1,220.00",489,---,,,,,,,,,,,,,,,,,
14,744,978,"1,509.50",978,765.5,731,489,---,,,,,,,,,,,,,,,,,
15,744,"1,150.50","1,509.50","1,150.50",765.5,242,172.5,---,,,,,,,,,,,,,,,,,
16,"1,508.50",978,"1,508.50","1,150.50",765.5,172.5,764.5,|,,,,,,,,,,,,,,,,,
17,744,"1,203.00","1,509.50","1,203.00",765.5,69.5,52.5,---,,,,,,,,,,,,,,,,,
18,"1,451.00","1,150.50","1,451.00","1,203.00",765.5,52.5,707,|,,,,,,,,,,,,,,,,,
19,"2,174.50",0,"2,174.50","1,220.00",930.5,"1,220.00",665,|,,,,,,,,,,,,,,,,,
20,"1,509.50",439,"2,174.50",439,665,"1,220.00",439,---,,,,,,,,,,,,,,,,,
21,"1,509.50",878,"2,174.50",878,665,781,439,---,,,,,,,,,,,,,,,,,
22,"1,509.50","1,217.00","2,174.50","1,217.00",665,342,339,---,,,,,,,,,,,,,,,,,
23,"1,864.50",878,"1,864.50","1,217.00",665,339,355,|,,,,,,,,,,,,,,,,,
24,"2,168.50",878,"2,168.50","1,217.00",310,339,304,|,,,,,,,,,,,,,,,,,
25,"2,387.00",0,"2,387.00","1,220.00",265.5,"1,220.00",212.5,|,,,,,,,,,,,,,,,,,
26,"2,174.50",664,"2,387.00",664,212.5,"1,220.00",664,---,,,,,,,,,,,,,,,,,
27,"2,174.50","1,152.00","2,387.00","1,152.00",212.5,556,488,---,,,,,,,,,,,,,,,,,
28,"2,372.50",664,"2,372.50","1,152.00",212.5,488,198,|,,,,,,,,,,,,,,,,,
29,"2,439.50",0,"2,439.50","1,220.00",53,"1,220.00",52.5,|,,,,,,,,,,,,,,,,,
30,"2,387.00",764,"2,439.50",764,52.5,"1,220.00",764,---,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 17,273.5)   17,273.5",,,,,,Count of cuts   (1 x 30)   30,,,,,,,,,,,,,,,,,,,
Layout,,,Stock #,,,Description,,,,Remnants,,Length,,Width,,Repeat,,,,,,,,,
2 of 4,,,1,,,,,,,,,"2,440.00",,"1,220.00",,1x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,,,X-coord,,,,Y-coord,,,Length,,,Width,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,31047,,,,,,,,,,0,,,,0,,,765.5,,,489,,,
2,,31965,,,,,,,,,,0,,,,489,,,765,,,489,,,
3,,32133,,,,,,,,,,0,,,,978,,,664,,,239,,,
4,,31376,,,,,,,,,,765.5,,,,0,,,92.5,,,363,,,
5,,28748,,,,,,,,,,765.5,,,,363,,,92.5,,,363,,,
6,,30858,,,,,,,,,,765.5,,,,726,,,78,,,488,,,
7,,30791,,,,,,,,,,858,,,,0,,,118,,,338,,,
8,,32150,,,,,,,,,,858,,,,338,,,118,,,338,,,
9,,29214,,,,,,,,,,858,,,,676,,,118,,,338,,,
10,,27780,,,,,,,,,,976,,,,0,,,238,,,438,,,
11,,31611,,,,,,,,,,976,,,,438,,,118,,,338,,,
12,,29478,,,,,,,,,,"1,094.00",,,,438,,,118,,,338,,,
13,,31349,,,,,,,,,,976,,,,776,,,118,,,338,,,
14,,30874,,,,,,,,,,"1,094.00",,,,776,,,118,,,338,,,
15,,27846,,,,,,,,,,"1,214.00",,,,0,,,238,,,438,,,
16,,32425,,,,,,,,,,"1,214.00",,,,438,,,158,,,388,,,
17,,31705,,,,,,,,,,"1,372.00",,,,438,,,78,,,388,,,
18,,28863,,,,,,,,,,"1,214.00",,,,826,,,158,,,388,,,
19,,29603,,,,,,,,,,"1,372.00",,,,826,,,78,,,388,,,
20,,28749,,,,,,,,,,"1,452.00",,,,0,,,489,,,765.5,,,
21,,31185,,,,,,,,,,"1,452.00",,,,765.5,,,158,,,438,,,
22,,32350,,,,,,,,,,"1,610.00",,,,765.5,,,158,,,438,,,
23,,30846,,,,,,,,,,"1,768.00",,,,765.5,,,158,,,438,,,
24,,30105,,,,,,,,,,"1,941.00",,,,0,,,489,,,765.5,,,
25,,30086,,,,,,,,,,"1,941.00",,,,765.5,,,238,,,438,,,
26,,30158,,,,,,,,,,"2,179.00",,,,765.5,,,238,,,438,,,
Cuts - absolute coordinates,,,,,Sub-stocks FIFO,,,,,,,,,,,,,,,,,,,,
#,,X1,Y1,X2,Y2,Length,Width,Cut,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,765.5,0,765.5,"1,220.00","2,440.00","1,220.00",765.5,|,,,,,,,,,,,,,,,,,
2,0,489,765.5,489,765.5,"1,220.00",489,---,,,,,,,,,,,,,,,,,
3,0,978,765.5,978,765.5,731,489,---,,,,,,,,,,,,,,,,,
4,765,489,765,978,765.5,489,765,|,,,,,,,,,,,,,,,,,
5,0,"1,217.00",765.5,"1,217.00",765.5,242,239,---,,,,,,,,,,,,,,,,,
6,664,978,664,"1,217.00",765.5,239,664,|,,,,,,,,,,,,,,,,,
7,858,0,858,"1,220.00","1,674.50","1,220.00",92.5,|,,,,,,,,,,,,,,,,,
8,765.5,363,858,363,92.5,"1,220.00",363,---,,,,,,,,,,,,,,,,,
9,765.5,726,858,726,92.5,857,363,---,,,,,,,,,,,,,,,,,
10,765.5,"1,214.00",858,"1,214.00",92.5,494,488,---,,,,,,,,,,,,,,,,,
11,843.5,726,843.5,"1,214.00",92.5,488,78,|,,,,,,,,,,,,,,,,,
12,976,0,976,"1,220.00","1,582.00","1,220.00",118,|,,,,,,,,,,,,,,,,,
13,858,338,976,338,118,"1,220.00",338,---,,,,,,,,,,,,,,,,,
14,858,676,976,676,118,882,338,---,,,,,,,,,,,,,,,,,
15,858,"1,014.00",976,"1,014.00",118,544,338,---,,,,,,,,,,,,,,,,,
16,"1,214.00",0,"1,214.00","1,220.00","1,464.00","1,220.00",238,|,,,,,,,,,,,,,,,,,
17,976,438,"1,214.00",438,238,"1,220.00",438,---,,,,,,,,,,,,,,,,,
18,976,776,"1,214.00",776,238,782,338,---,,,,,,,,,,,,,,,,,
19,"1,094.00",438,"1,094.00",776,238,338,118,|,,,,,,,,,,,,,,,,,
20,"1,212.00",438,"1,212.00",776,120,338,118,|,,,,,,,,,,,,,,,,,
21,976,"1,114.00","1,214.00","1,114.00",238,444,338,---,,,,,,,,,,,,,,,,,
