Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 1,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,33932,,,,,,,,,,0.0,,,,0.0,,,298.0,,,346.0,,,,,
2,,34368,,,,,,,,,,298.0,,,,0.0,,,"1,152.0",,,345.0,,,,,
3,,35276,,,,,,,,,,0.0,,,,346.0,,,298.0,,,346.0,,,,,
4,,33440,,,,,,,,,,298.0,,,,346.0,,,"1,152.0",,,345.0,,,,,
5,,36002,,,,,,,,,,0.0,,,,692.0,,,305.0,,,261.0,,,*,,
6,,36956,,,,,,,,,,305.0,,,,692.0,,,"1,152.0",,,261.0,,,,,
7,,35902,,*,,,,,*,,,0.0,,,,953.0,,,305.0,,,261.0,,,*,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"1,457.0",,,,0.0,,"1,457.0",,,"1,220.0",,,"2,440.0",,,"1,220.0",,,"1,457.0",,,|,,,
2,,0.0,,,,346.0,,"1,457.0",,,346.0,,,"1,457.0",,,"1,220.0",,,346.0,,,---,,,
3,,298.0,,,,0.0,,298.0,,,346.0,,,"1,457.0",,,346.0,,,298.0,,,|,,,
4,,"1,450.0",,,,0.0,,"1,450.0",,,346.0,,,"1,159.0",,,346.0,,,"1,152.0",,,|,,,
5,,298.0,,,,345.0,,"1,450.0",,,345.0,,,"1,152.0",,,346.0,,,345.0,,,---,,,
6,,0.0,,,,692.0,,"1,457.0",,,692.0,,,"1,457.0",,,874.0,,,346.0,,,---,,,
7,,298.0,,,,346.0,,298.0,,,692.0,,,"1,457.0",,,346.0,,,298.0,,,|,,,
8,,"1,450.0",,,,346.0,,"1,450.0",,,692.0,,,"1,159.0",,,346.0,,,"1,152.0",,,|,,,
9,,298.0,,,,691.0,,"1,450.0",,,691.0,,,"1,152.0",,,346.0,,,345.0,,,---,,,
10,,0.0,,,,953.0,,"1,457.0",,,953.0,,,"1,457.0",,,528.0,,,261.0,,,---,,,
11,,305.0,,,,692.0,,305.0,,,953.0,,,"1,457.0",,,261.0,,,305.0,,,|,,,
12,,0.0,,,,"1,214.0",,"1,457.0",,,"1,214.0",,,"1,457.0",,,267.0,,,261.0,,,---,,,
13,,305.0,,,,953.0,,305.0,,,"1,214.0",,,"1,457.0",,,261.0,,,305.0,,,|,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 11,258.0)   11,258.0",,,,,,,,,,,,,,,Count of cuts   (1 x 13)   13,,,,,,,,,,,,
