Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,,
1 of 13,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8855,,,,,,,,,,0.0,,,,0.0,,,"2,392.0",,,391.0,,,,,
2,,9851,,,,,,,,,,0.0,,,,391.0,,,"2,392.0",,,391.0,,,,,
3,,11473,,,,,,,,,,0.0,,,,782.0,,,890.0,,,435.0,,,,,
4,,7779,,,,,,,,,,890.0,,,,782.0,,,788.5,,,434.0,,,,,
5,,12460,,,,,,,,,,"1,678.5",,,,782.0,,,263.0,,,409.0,,,*,,
6,,9987,,,,,,,,,,"1,941.5",,,,782.0,,,495.0,,,403.5,,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,391.0,,"2,440.0",,,391.0,,,"2,440.0",,,"1,220.0",,,391.0,,,---,,,
2,,"2,392.0",,,,0.0,,"2,392.0",,,391.0,,,"2,440.0",,,391.0,,,"2,392.0",,,|,,,
3,,0.0,,,,782.0,,"2,440.0",,,782.0,,,"2,440.0",,,829.0,,,391.0,,,---,,,
4,,"2,392.0",,,,391.0,,"2,392.0",,,782.0,,,"2,440.0",,,391.0,,,"2,392.0",,,|,,,
5,,890.0,,,,782.0,,890.0,,,"1,220.0",,,"2,440.0",,,438.0,,,890.0,,,|,,,
6,,0.0,,,,"1,217.0",,890.0,,,"1,217.0",,,890.0,,,438.0,,,435.0,,,---,,,
7,,"1,678.5",,,,782.0,,"1,678.5",,,"1,220.0",,,"1,550.0",,,438.0,,,788.5,,,|,,,
8,,890.0,,,,"1,216.0",,"1,678.5",,,"1,216.0",,,788.5,,,438.0,,,434.0,,,---,,,
9,,"1,941.5",,,,782.0,,"1,941.5",,,"1,220.0",,,761.5,,,438.0,,,263.0,,,|,,,
10,,"1,678.5",,,,"1,191.0",,"1,941.5",,,"1,191.0",,,263.0,,,438.0,,,409.0,,,---,,,
11,,"2,436.5",,,,782.0,,"2,436.5",,,"1,220.0",,,498.5,,,438.0,,,495.0,,,|,,,
12,,"1,941.5",,,,"1,185.5",,"2,436.5",,,"1,185.5",,,495.0,,,438.0,,,403.5,,,---,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,850.5)   9,850.5",,,,,,,,,,,,,,,Count of cuts   (1 x 12)   12,,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
2 of 13,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8168,,,,,,,,,,0.0,,,,0.0,,,784.5,,,450.0,,,,
2,,12372,,,,,,,,,,784.5,,,,0.0,,,784.5,,,450.0,,,,
3,,8557,,,,,,,,,,"1,569.0",,,,0.0,,,852.5,,,450.0,,,,
4,,9782,,,,,,,,,,0.0,,,,450.0,,,"2,392.0",,,391.0,,,,
5,,9783,,,,,,,,,,0.0,,,,841.0,,,"2,332.0",,,368.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,450.0,,"2,440.0",,,450.0,,,"2,440.0",,,"1,220.0",,,450.0,,,---,,
2,,784.5,,,,0.0,,784.5,,,450.0,,,"2,440.0",,,450.0,,,784.5,,,|,,
3,,"1,569.0",,,,0.0,,"1,569.0",,,450.0,,,"1,655.5",,,450.0,,,784.5,,,|,,
4,,"2,421.5",,,,0.0,,"2,421.5",,,450.0,,,871.0,,,450.0,,,852.5,,,|,,
5,,0.0,,,,841.0,,"2,440.0",,,841.0,,,"2,440.0",,,770.0,,,391.0,,,---,,
6,,"2,392.0",,,,450.0,,"2,392.0",,,841.0,,,"2,440.0",,,391.0,,,"2,392.0",,,|,,
7,,0.0,,,,"1,209.0",,"2,440.0",,,"1,209.0",,,"2,440.0",,,379.0,,,368.0,,,---,,
8,,"2,332.0",,,,841.0,,"2,332.0",,,"1,209.0",,,"2,440.0",,,368.0,,,"2,332.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 9,429.0)   9,429.0",,,,,,,,,,,,,,,Count of cuts   (1 x 8)   8,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
3 of 13,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7690,,,,,,,,,,0.0,,,,0.0,,,809.5,,,452.5,,,,
2,,8567,,,,,,,,,,809.5,,,,0.0,,,809.5,,,452.5,,,,
3,,9585,,,,,,,,,,"1,619.0",,,,0.0,,,784.5,,,450.0,,,,
4,,9045,,,,,,,,,,0.0,,,,452.5,,,"2,392.0",,,391.0,,,,
5,,12596,,,,,,,,,,0.0,,,,843.5,,,"2,332.0",,,368.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,452.5,,"2,440.0",,,452.5,,,"2,440.0",,,"1,220.0",,,452.5,,,---,,
2,,809.5,,,,0.0,,809.5,,,452.5,,,"2,440.0",,,452.5,,,809.5,,,|,,
3,,"1,619.0",,,,0.0,,"1,619.0",,,452.5,,,"1,630.5",,,452.5,,,809.5,,,|,,
4,,"2,403.5",,,,0.0,,"2,403.5",,,452.5,,,821.0,,,452.5,,,784.5,,,|,,
5,,"1,619.0",,,,450.0,,"2,403.5",,,450.0,,,784.5,,,452.5,,,450.0,,,---,,
6,,0.0,,,,843.5,,"2,440.0",,,843.5,,,"2,440.0",,,767.5,,,391.0,,,---,,
7,,"2,392.0",,,,452.5,,"2,392.0",,,843.5,,,"2,440.0",,,391.0,,,"2,392.0",,,|,,
8,,0.0,,,,"1,211.5",,"2,440.0",,,"1,211.5",,,"2,440.0",,,376.5,,,368.0,,,---,,
9,,"2,332.0",,,,843.5,,"2,332.0",,,"1,211.5",,,"2,440.0",,,368.0,,,"2,332.0",,,|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of cuts   (1 x 10,221.0)   10,221.0",,,,,,,,,,,,,,,Count of cuts   (1 x 9)   9,,,,,,,,,,,
Layout,,,Stock #,,,,Description,,,,,,Remnants,,,,Length,,,Width,,,Repeat,,,
4 of 13,,,1,,,,,,,,,,,,,,"2,440.0",,,"1,220.0",,,1x,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,Part #,,,Description,,,,,Order #,,X-coord,,,,Y-coord,,,Length,,,Width,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,8717,,,,,,,,,,0.0,,,,0.0,,,"2,347.0",,,446.0,,,,
2,,9271,,,,,,,,,,0.0,,,,446.0,,,689.0,,,288.0,,,,
3,,11112,,,,,,,,,,689.0,,,,446.0,,,688.0,,,288.0,,,,
4,,12599,,,,,,,,,,"1,377.0",,,,446.0,,,518.0,,,137.5,,,,
5,,9060,,,,,,,,,,"1,377.0",,,,583.5,,,518.0,,,137.5,,,,
6,,11718,,,,,,,,,,"1,895.0",,,,446.0,,,409.0,,,263.0,,,,
7,,8994,,,,,,,,,,0.0,,,,734.0,,,744.5,,,486.0,,,,
8,,9167,,,,,,,,,,744.5,,,,734.0,,,"1,644.5",,,486.0,,,,
Cuts - absolute coordinates,,,,,,,,,,,,,,Sub-stocks FIFO,,,,,,,,,,,
#,,X1,,,,Y1,,X2,,,Y2,,,Length,,,Width,,,Cut,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0,,,,446.0,,"2,440.0",,,446.0,,,"2,440.0",,,"1,220.0",,,446.0,,,---,,
2,,"2,347.0",,,,0.0,,"2,347.0",,,446.0,,,"2,440.0",,,446.0,,,"2,347.0",,,|,,
